experiment,model,fold,seed,test_acc,test_macro_f1,best_val_macro_f1,fusion_type,aux_gate_init,gate_mean,gate_max
cv10_fold1_logmel_seed3407,logmel,1,3407,0.8928571428571429,0.8877005347593583,0.9404424276800907,direct,-4.0,,
cv10_fold2_logmel_seed3407,logmel,2,3407,0.9285714285714286,0.9295995670995671,0.9404424276800907,direct,-4.0,,
cv10_fold3_logmel_seed3407,logmel,3,3407,0.9285714285714286,0.9279176201372997,0.9522727272727273,direct,-4.0,,
cv10_fold4_logmel_seed3407,logmel,4,3407,0.9404761904761905,0.9401709401709402,0.9162393162393163,direct,-4.0,,
cv10_fold5_logmel_seed3407,logmel,5,3407,0.9047619047619048,0.9034883720930234,0.9522727272727273,direct,-4.0,,
cv10_fold6_logmel_seed3407,logmel,6,3407,0.9166666666666666,0.9162393162393163,0.8784722222222222,direct,-4.0,,
cv10_fold7_logmel_seed3407,logmel,7,3407,0.9523809523809523,0.9523809523809523,0.9523809523809523,direct,-4.0,,
cv10_fold8_logmel_seed3407,logmel,8,3407,0.9285714285714286,0.928409090909091,0.9279176201372997,direct,-4.0,,
cv10_fold9_logmel_seed3407,logmel,9,3407,0.9285714285714286,0.9279839559192934,0.9517441860465116,direct,-4.0,,
cv10_fold0_mctafd_no_se_gated_seed42,mctafd_no_se_gated,0,42,0.9285714285714286,0.928409090909091,0.9522727272727273,gated,-4.0,0.01827183086425066,0.018519971519708633
cv10_fold1_mctafd_no_se_gated_seed42,mctafd_no_se_gated,1,42,0.9166666666666666,0.9142857142857143,0.9404424276800907,gated,-4.0,0.01814760733395815,0.018955890089273453
cv10_fold2_mctafd_no_se_gated_seed42,mctafd_no_se_gated,2,42,0.9166666666666666,0.9165787913164544,0.9401709401709402,gated,-4.0,0.018129214644432068,0.018859997391700745
cv10_fold3_mctafd_no_se_gated_seed42,mctafd_no_se_gated,3,42,0.9166666666666666,0.9162393162393163,0.9523809523809523,gated,-4.0,0.018063172232359648,0.018343714997172356
cv10_fold4_mctafd_no_se_gated_seed42,mctafd_no_se_gated,4,42,0.9404761904761905,0.9401709401709402,0.928409090909091,gated,-4.0,0.01817565644159913,0.018502403050661087
cv10_fold5_mctafd_no_se_gated_seed42,mctafd_no_se_gated,5,42,0.9047619047619048,0.9047619047619047,0.9523809523809523,gated,-4.0,0.01806829310953617,0.01837863400578499
cv10_fold6_mctafd_no_se_gated_seed42,mctafd_no_se_gated,6,42,0.9047619047619048,0.9045454545454545,0.8790274096138606,gated,-4.0,0.0181095190346241,0.018505975604057312
cv10_fold7_mctafd_no_se_gated_seed42,mctafd_no_se_gated,7,42,0.8690476190476191,0.8608527131782945,0.9519450800915332,gated,-4.0,0.018088947515934706,0.01841738447546959
cv10_fold8_mctafd_no_se_gated_seed42,mctafd_no_se_gated,8,42,0.8809523809523809,0.8764705882352941,0.9285714285714286,gated,-4.0,0.018467877991497517,0.01916569657623768
cv10_fold9_mctafd_no_se_gated_seed42,mctafd_no_se_gated,9,42,0.9166666666666666,0.9162393162393162,0.9522727272727273,gated,-4.0,0.018161825835704803,0.018519289791584015
cv10_fold0_mctafd_no_se_gated_seed2024,mctafd_no_se_gated,0,2024,0.9404761904761905,0.9401709401709402,0.9642654566080544,gated,-4.0,0.01819862425327301,0.0186531450599432
