experiment,model,fold,seed,test_acc,test_macro_f1,best_val_macro_f1,pretrained_ckpt,load_encoder_only,freeze_encoder_epochs,fusion_type,aux_gate_init,gate_mean,gate_max
cv10_pretrain_no_feeding_fold4_mctafd_no_se_gated_seed42,mctafd_no_se_gated_pretrain,4,42,0.9285714285714286,0.928409090909091,0.9045454545454545,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018322987016290426,0.02073892578482628
cv10_pretrain_no_feeding_fold5_mctafd_no_se_gated_seed42,mctafd_no_se_gated_pretrain,5,42,0.9404761904761905,0.9404424276800907,0.9522727272727273,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018609413877129555,0.020624268800020218
cv10_pretrain_no_feeding_fold6_mctafd_no_se_gated_seed42,mctafd_no_se_gated_pretrain,6,42,0.8809523809523809,0.881008294880246,0.8927963698241633,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.01839260896667838,0.02068060263991356
cv10_pretrain_no_feeding_fold7_mctafd_no_se_gated_seed42,mctafd_no_se_gated_pretrain,7,42,0.9047619047619048,0.9045454545454545,0.9642654566080544,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018375135026872158,0.020617753267288208
cv10_pretrain_no_feeding_fold8_mctafd_no_se_gated_seed42,mctafd_no_se_gated_pretrain,8,42,0.9047619047619048,0.9045454545454545,0.8913168487636574,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.01838232111185789,0.020563296973705292
cv10_pretrain_no_feeding_fold9_mctafd_no_se_gated_seed42,mctafd_no_se_gated_pretrain,9,42,0.9166666666666666,0.9166193987521271,0.9404424276800907,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.0183912452775985,0.0206657275557518
cv10_pretrain_no_feeding_fold0_mctafd_no_se_gated_seed2024,mctafd_no_se_gated_pretrain,0,2024,0.9166666666666666,0.9166193987521271,0.9641025641025642,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018552027642726898,0.020408019423484802
cv10_pretrain_no_feeding_fold1_mctafd_no_se_gated_seed2024,mctafd_no_se_gated_pretrain,1,2024,0.9404761904761905,0.9404424276800907,0.9404424276800907,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018480353988707066,0.020526334643363953
cv10_pretrain_no_feeding_fold2_mctafd_no_se_gated_seed2024,mctafd_no_se_gated_pretrain,2,2024,0.9404761904761905,0.9404424276800907,0.9404424276800907,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018465299624949694,0.020545262843370438
cv10_pretrain_no_feeding_fold3_mctafd_no_se_gated_seed2024,mctafd_no_se_gated_pretrain,3,2024,0.8690476190476191,0.8627450980392156,0.9519450800915332,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.0183657044544816,0.020556043833494186
cv10_pretrain_no_feeding_fold4_mctafd_no_se_gated_seed2024,mctafd_no_se_gated_pretrain,4,2024,0.9404761904761905,0.9404424276800907,0.9279176201372997,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018684706185013056,0.020447155460715294
cv10_pretrain_no_feeding_fold5_mctafd_no_se_gated_seed2024,mctafd_no_se_gated_pretrain,5,2024,0.9047619047619048,0.9045454545454545,0.9404424276800907,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.0184677648358047,0.02067418582737446
cv10_pretrain_no_feeding_fold6_mctafd_no_se_gated_seed2024,mctafd_no_se_gated_pretrain,6,2024,0.8809523809523809,0.8784722222222222,0.8689733408961996,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018345083575695753,0.020654065534472466
cv10_pretrain_no_feeding_fold7_mctafd_no_se_gated_seed2024,mctafd_no_se_gated_pretrain,7,2024,0.8809523809523809,0.879862700228833,0.9642654566080544,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.01847992930561304,0.02050485648214817
cv10_pretrain_no_feeding_fold8_mctafd_no_se_gated_seed2024,mctafd_no_se_gated_pretrain,8,2024,0.9047619047619048,0.9027777777777778,0.9047619047619047,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018403278663754463,0.02062053047120571
cv10_pretrain_no_feeding_fold9_mctafd_no_se_gated_seed2024,mctafd_no_se_gated_pretrain,9,2024,0.9166666666666666,0.9166193987521271,0.9401709401709402,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018361404538154602,0.020541487261652946
cv10_pretrain_no_feeding_fold0_mctafd_no_se_gated_seed3407,mctafd_no_se_gated_pretrain,0,3407,0.9285714285714286,0.928409090909091,0.9404424276800907,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.01831476530060172,0.020783018320798874
cv10_pretrain_no_feeding_fold1_mctafd_no_se_gated_seed3407,mctafd_no_se_gated_pretrain,1,3407,0.9285714285714286,0.9270833333333334,0.9523809523809523,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018283550860360265,0.020680880174040794
cv10_pretrain_no_feeding_fold2_mctafd_no_se_gated_seed3407,mctafd_no_se_gated_pretrain,2,3407,0.8928571428571429,0.8933693244739755,0.9404424276800907,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018327444326132536,0.020787889137864113
cv10_pretrain_no_feeding_fold3_mctafd_no_se_gated_seed3407,mctafd_no_se_gated_pretrain,3,3407,0.9285714285714286,0.9279176201372997,0.9401709401709402,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018315762747079134,0.02065196819603443
cv10_pretrain_no_feeding_fold4_mctafd_no_se_gated_seed3407,mctafd_no_se_gated_pretrain,4,3407,0.9523809523809523,0.9522727272727273,0.9166193987521271,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018320325994864106,0.020527610555291176
cv10_pretrain_no_feeding_fold5_mctafd_no_se_gated_seed3407,mctafd_no_se_gated_pretrain,5,3407,0.9404761904761905,0.9404424276800907,0.9642654566080544,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018282507313415408,0.020640647038817406
cv10_pretrain_no_feeding_fold6_mctafd_no_se_gated_seed3407,mctafd_no_se_gated_pretrain,6,3407,0.9166666666666666,0.915223342548924,0.8662309637693111,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018319313414394855,0.020513512194156647
cv10_pretrain_no_feeding_fold7_mctafd_no_se_gated_seed3407,mctafd_no_se_gated_pretrain,7,3407,0.8809523809523809,0.8784722222222222,0.9642654566080544,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.01834992878139019,0.020581401884555817
cv10_pretrain_no_feeding_fold8_mctafd_no_se_gated_seed3407,mctafd_no_se_gated_pretrain,8,3407,0.9047619047619048,0.9027777777777778,0.9162393162393163,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018285701284185052,0.020893031731247902
cv10_pretrain_no_feeding_fold9_mctafd_no_se_gated_seed3407,mctafd_no_se_gated_pretrain,9,3407,0.9166666666666666,0.9159883720930233,0.9522727272727273,checkpoints\pretrain_no_feeding_gated_mctafd_cap1000.pt,True,0,gated,-4.0,0.018315704073756933,0.02067219652235508
