experiment,model,fold,seed,feature_mode,use_se,n_mels,fmax,boundary_loss_weight,boundary_warmup_epochs,fusion_type,aux_gate_init,gate_mean,gate_max,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
cv5_boundary_fold4_logmel_w10_seed3407,logmel_boundary_w10,4,3407,logmel,True,64,8000.0,1.0,5.0,,,,,14,0.9414304333659173,0.9047619047619048,0.9035805626598465
cv5_boundary_fold0_mctafd_no_se_w02_seed42,mctafd_no_se_boundary_w02,0,42,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,9,0.9412587412587412,0.9047619047619048,0.9033927544565843
cv5_boundary_fold1_mctafd_no_se_w02_seed42,mctafd_no_se_boundary_w02,1,42,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,7,0.924812030075188,0.875,0.8739024390243901
cv5_boundary_fold2_mctafd_no_se_w02_seed42,mctafd_no_se_boundary_w02,2,42,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,30,0.9583217560433455,0.9285714285714286,0.9285309132161088
cv5_boundary_fold3_mctafd_no_se_w02_seed42,mctafd_no_se_boundary_w02,3,42,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,17,0.9503081664098614,0.8988095238095238,0.8990026038218808
cv5_boundary_fold4_mctafd_no_se_w02_seed42,mctafd_no_se_boundary_w02,4,42,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,19,0.9158249158249159,0.9226190476190477,0.9226080793763289
cv5_boundary_fold0_mctafd_no_se_w02_seed2024,mctafd_no_se_boundary_w02,0,2024,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,13,0.9412587412587412,0.9345238095238095,0.9342909970132272
cv5_boundary_fold1_mctafd_no_se_w02_seed2024,mctafd_no_se_boundary_w02,1,2024,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,16,0.9580419580419581,0.9166666666666666,0.9161406025824964
cv5_boundary_fold2_mctafd_no_se_w02_seed2024,mctafd_no_se_boundary_w02,2,2024,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,23,0.9582289055973265,0.9166666666666666,0.9162393162393163
cv5_boundary_fold3_mctafd_no_se_w02_seed2024,mctafd_no_se_boundary_w02,3,2024,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,32,0.9408617290903971,0.8928571428571429,0.8923076923076922
cv5_boundary_fold4_mctafd_no_se_w02_seed2024,mctafd_no_se_boundary_w02,4,2024,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,18,0.9249791608780217,0.9285714285714286,0.9282051282051282
cv5_boundary_fold0_mctafd_no_se_w02_seed3407,mctafd_no_se_boundary_w02,0,3407,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,6,0.9326599326599327,0.8988095238095238,0.897043979812545
cv5_boundary_fold1_mctafd_no_se_w02_seed3407,mctafd_no_se_boundary_w02,1,3407,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,34,0.9666295884315906,0.8869047619047619,0.8850195128840145
cv5_boundary_fold2_mctafd_no_se_w02_seed3407,mctafd_no_se_boundary_w02,2,3407,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,31,0.9583217560433455,0.9345238095238095,0.9345145287030475
cv5_boundary_fold3_mctafd_no_se_w02_seed3407,mctafd_no_se_boundary_w02,3,3407,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,15,0.9494949494949495,0.9047619047619048,0.9042735042735042
cv5_boundary_fold4_mctafd_no_se_w02_seed3407,mctafd_no_se_boundary_w02,4,3407,mctafd,False,64,8000.0,0.2,5.0,direct,-4.0,,,12,0.9666295884315906,0.8809523809523809,0.883001059081881
cv5_boundary_fold0_mctafd_no_se_w05_seed42,mctafd_no_se_boundary_w05,0,42,mctafd,False,64,8000.0,0.5,5.0,,,,,9,0.9412587412587412,0.9107142857142857,0.9096774193548387
cv5_boundary_fold1_mctafd_no_se_w05_seed42,mctafd_no_se_boundary_w05,1,42,mctafd,False,64,8000.0,0.5,5.0,,,,,7,0.9333333333333333,0.8988095238095238,0.8990773264730618
cv5_boundary_fold2_mctafd_no_se_w05_seed42,mctafd_no_se_boundary_w05,2,42,mctafd,False,64,8000.0,0.5,5.0,,,,,23,0.95,0.9523809523809523,0.9522727272727273
cv5_boundary_fold3_mctafd_no_se_w05_seed42,mctafd_no_se_boundary_w05,3,42,mctafd,False,64,8000.0,0.5,5.0,,,,,25,0.9580419580419581,0.9047619047619048,0.9039130803836686
cv5_boundary_fold4_mctafd_no_se_w05_seed42,mctafd_no_se_boundary_w05,4,42,mctafd,False,64,8000.0,0.5,5.0,,,,,15,0.9416504584606835,0.9226190476190477,0.9223439055610866
cv5_boundary_fold0_mctafd_no_se_w05_seed2024,mctafd_no_se_boundary_w05,0,2024,mctafd,False,64,8000.0,0.5,5.0,,,,,4,0.9412587412587412,0.9047619047619048,0.9033927544565842
cv5_boundary_fold1_mctafd_no_se_w05_seed2024,mctafd_no_se_boundary_w05,1,2024,mctafd,False,64,8000.0,0.5,5.0,,,,,17,0.95,0.8869047619047619,0.8875076547269842
cv5_boundary_fold2_mctafd_no_se_w05_seed2024,mctafd_no_se_boundary_w05,2,2024,mctafd,False,64,8000.0,0.5,5.0,,,,,19,0.9497767857142857,0.9226190476190477,0.9225202213707961
cv5_boundary_fold3_mctafd_no_se_w05_seed2024,mctafd_no_se_boundary_w05,3,2024,mctafd,False,64,8000.0,0.5,5.0,,,,,28,0.9412587412587412,0.8988095238095238,0.898101898101898
cv5_boundary_fold4_mctafd_no_se_w05_seed2024,mctafd_no_se_boundary_w05,4,2024,mctafd,False,64,8000.0,0.5,5.0,,,,,17,0.9166666666666667,0.9285714285714286,0.928409090909091
cv5_boundary_fold0_mctafd_no_se_w05_seed3407,mctafd_no_se_boundary_w05,0,3407,mctafd,False,64,8000.0,0.5,5.0,,,,,6,0.9330357142857143,0.9047619047619048,0.9042735042735042
cv5_boundary_fold1_mctafd_no_se_w05_seed3407,mctafd_no_se_boundary_w05,1,3407,mctafd,False,64,8000.0,0.5,5.0,,,,,22,0.9583217560433455,0.9047619047619048,0.9027777777777778
cv5_boundary_fold2_mctafd_no_se_w05_seed3407,mctafd_no_se_boundary_w05,2,3407,mctafd,False,64,8000.0,0.5,5.0,,,,,32,0.9583217560433455,0.9404761904761905,0.9404761904761905
cv5_boundary_fold3_mctafd_no_se_w05_seed3407,mctafd_no_se_boundary_w05,3,3407,mctafd,False,64,8000.0,0.5,5.0,,,,,17,0.9416504584606835,0.9226190476190477,0.9225202213707961
cv5_boundary_fold4_mctafd_no_se_w05_seed3407,mctafd_no_se_boundary_w05,4,3407,mctafd,False,64,8000.0,0.5,5.0,,,,,28,0.949944382647386,0.9166666666666666,0.9166193987521271
cv5_boundary_fold0_mctafd_no_se_w10_seed42,mctafd_no_se_boundary_w10,0,42,mctafd,False,64,8000.0,1.0,5.0,,,,,10,0.9412587412587412,0.9047619047619048,0.9027777777777778
cv5_boundary_fold1_mctafd_no_se_w10_seed42,mctafd_no_se_boundary_w10,1,42,mctafd,False,64,8000.0,1.0,5.0,,,,,31,0.9666666666666668,0.9345238095238095,0.9344401873137506
cv5_boundary_fold2_mctafd_no_se_w10_seed42,mctafd_no_se_boundary_w10,2,42,mctafd,False,64,8000.0,1.0,5.0,,,,,14,0.9416504584606835,0.9464285714285714,0.9464209780297661
cv5_boundary_fold3_mctafd_no_se_w10_seed42,mctafd_no_se_boundary_w10,3,42,mctafd,False,64,8000.0,1.0,5.0,,,,,11,0.949778266395762,0.9107142857142857,0.9102582496413198
cv5_boundary_fold4_mctafd_no_se_w10_seed42,mctafd_no_se_boundary_w10,4,42,mctafd,False,64,8000.0,1.0,5.0,,,,,17,0.9326599326599327,0.8988095238095238,0.8999512670565302
cv5_boundary_fold0_mctafd_no_se_w10_seed2024,mctafd_no_se_boundary_w10,0,2024,mctafd,False,64,8000.0,1.0,5.0,,,,,10,0.9412587412587412,0.9285714285714286,0.9285309132161088
cv5_boundary_fold1_mctafd_no_se_w10_seed2024,mctafd_no_se_boundary_w10,1,2024,mctafd,False,64,8000.0,1.0,5.0,,,,,21,0.9416504584606835,0.8988095238095238,0.8997847919655666
cv5_boundary_fold2_mctafd_no_se_w10_seed2024,mctafd_no_se_boundary_w10,2,2024,mctafd,False,64,8000.0,1.0,5.0,,,,,16,0.949944382647386,0.9226190476190477,0.9225202213707961
cv5_boundary_fold3_mctafd_no_se_w10_seed2024,mctafd_no_se_boundary_w10,3,2024,mctafd,False,64,8000.0,1.0,5.0,,,,,20,0.9412587412587412,0.9047619047619048,0.9038901601830664
cv5_boundary_fold4_mctafd_no_se_w10_seed2024,mctafd_no_se_boundary_w10,4,2024,mctafd,False,64,8000.0,1.0,5.0,,,,,19,0.9232736572890025,0.9107142857142857,0.9091564527757751
cv5_boundary_fold0_mctafd_no_se_w10_seed3407,mctafd_no_se_boundary_w10,0,3407,mctafd,False,64,8000.0,1.0,5.0,,,,,6,0.9254330415347365,0.9226190476190477,0.9225202213707961
cv5_boundary_fold1_mctafd_no_se_w10_seed3407,mctafd_no_se_boundary_w10,1,3407,mctafd,False,64,8000.0,1.0,5.0,,,,,21,0.949944382647386,0.9166666666666666,0.917352051427491
cv5_boundary_fold2_mctafd_no_se_w10_seed3407,mctafd_no_se_boundary_w10,2,3407,mctafd,False,64,8000.0,1.0,5.0,,,,,13,0.9415204678362573,0.9226190476190477,0.9225153779675664
cv5_boundary_fold3_mctafd_no_se_w10_seed3407,mctafd_no_se_boundary_w10,3,3407,mctafd,False,64,8000.0,1.0,5.0,,,,,13,0.9408617290903971,0.9107142857142857,0.9111031203465547
cv5_boundary_fold4_mctafd_no_se_w10_seed3407,mctafd_no_se_boundary_w10,4,3407,mctafd,False,64,8000.0,1.0,5.0,,,,,11,0.9416504584606835,0.9226190476190477,0.9226080793763288
cv5_fold0_mctafd_no_se_nmel64_fmax8000_seed42,mctafd_no_se_direct,0,42,mctafd,False,64,8000.0,,,,,,,9,0.9412587412587412,0.8869047619047619,0.8841295193843473
cv5_fold1_mctafd_no_se_nmel64_fmax8000_seed42,mctafd_no_se_direct,1,42,mctafd,False,64,8000.0,,,,,,,7,0.9416504584606835,0.8988095238095238,0.8984704200629595
cv5_fold2_mctafd_no_se_nmel64_fmax8000_seed42,mctafd_no_se_direct,2,42,mctafd,False,64,8000.0,,,,,,,31,0.9583217560433455,0.9404761904761905,0.9404761904761905
cv5_fold3_mctafd_no_se_nmel64_fmax8000_seed42,mctafd_no_se_direct,3,42,mctafd,False,64,8000.0,,,,,,,19,0.9580419580419581,0.9166666666666666,0.9164772727272728
cv5_fold4_mctafd_no_se_nmel64_fmax8000_seed42,mctafd_no_se_direct,4,42,mctafd,False,64,8000.0,,,,,,,25,0.9165739710789766,0.9226190476190477,0.9220779220779222
cv5_fold0_mctafd_no_se_nmel64_fmax8000_seed123,mctafd_no_se_direct,0,123,mctafd,False,64,8000.0,,,,,,,4,0.9239650802590819,0.8630952380952381,0.8603357151549923
cv5_fold1_mctafd_no_se_nmel64_fmax8000_seed123,mctafd_no_se_direct,1,123,mctafd,False,64,8000.0,,,,,,,32,0.9583217560433455,0.9226190476190477,0.9225286728497687
cv5_fold2_mctafd_no_se_nmel64_fmax8000_seed123,mctafd_no_se_direct,2,123,mctafd,False,64,8000.0,,,,,,,30,0.9416504584606835,0.9523809523809523,0.9523809523809523
cv5_fold3_mctafd_no_se_nmel64_fmax8000_seed123,mctafd_no_se_direct,3,123,mctafd,False,64,8000.0,,,,,,,25,0.9412587412587412,0.8988095238095238,0.8986430236430236
cv5_fold4_mctafd_no_se_nmel64_fmax8000_seed123,mctafd_no_se_direct,4,123,mctafd,False,64,8000.0,,,,,,,14,0.9416504584606835,0.9285714285714286,0.928409090909091
cv5_fold0_mctafd_no_se_nmel64_fmax8000_seed777,mctafd_no_se_direct,0,777,mctafd,False,64,8000.0,,,,,,,9,0.9412587412587412,0.9285714285714286,0.9282051282051282
cv5_fold1_mctafd_no_se_nmel64_fmax8000_seed777,mctafd_no_se_direct,1,777,mctafd,False,64,8000.0,,,,,,,28,0.9583217560433455,0.8988095238095238,0.898101898101898
cv5_fold2_mctafd_no_se_nmel64_fmax8000_seed777,mctafd_no_se_direct,2,777,mctafd,False,64,8000.0,,,,,,,9,0.9249791608780217,0.8988095238095238,0.8998711414201803
cv5_fold3_mctafd_no_se_nmel64_fmax8000_seed777,mctafd_no_se_direct,3,777,mctafd,False,64,8000.0,,,,,,,11,0.9415204678362573,0.9285714285714286,0.9285714285714286
cv5_fold4_mctafd_no_se_nmel64_fmax8000_seed777,mctafd_no_se_direct,4,777,mctafd,False,64,8000.0,,,,,,,24,0.9415204678362573,0.9226190476190477,0.9220779220779222
cv5_fold0_mctafd_no_se_nmel64_fmax8000_seed2024,mctafd_no_se_direct,0,2024,mctafd,False,64,8000.0,,,,,,,6,0.9415204678362573,0.9047619047619048,0.9042735042735042
cv5_fold1_mctafd_no_se_nmel64_fmax8000_seed2024,mctafd_no_se_direct,1,2024,mctafd,False,64,8000.0,,,,,,,17,0.95,0.8928571428571429,0.8920785007602566
cv5_fold2_mctafd_no_se_nmel64_fmax8000_seed2024,mctafd_no_se_direct,2,2024,mctafd,False,64,8000.0,,,,,,,25,0.9497767857142857,0.9166666666666666,0.9164772727272728
cv5_fold3_mctafd_no_se_nmel64_fmax8000_seed2024,mctafd_no_se_direct,3,2024,mctafd,False,64,8000.0,,,,,,,8,0.9162946428571428,0.8988095238095238,0.8984497226568056
cv5_fold4_mctafd_no_se_nmel64_fmax8000_seed2024,mctafd_no_se_direct,4,2024,mctafd,False,64,8000.0,,,,,,,14,0.9497767857142857,0.9107142857142857,0.9100521971969426
cv5_fold0_mctafd_no_se_nmel64_fmax8000_seed3407,mctafd_no_se_direct,0,3407,mctafd,False,64,8000.0,,,,,,,11,0.9326599326599327,0.9107142857142857,0.9085233047771163
cv5_fold1_mctafd_no_se_nmel64_fmax8000_seed3407,mctafd_no_se_direct,1,3407,mctafd,False,64,8000.0,,,,,,,32,0.9583217560433455,0.8869047619047619,0.8846468295641112
cv5_fold2_mctafd_no_se_nmel64_fmax8000_seed3407,mctafd_no_se_direct,2,3407,mctafd,False,64,8000.0,,,,,,,13,0.9333333333333333,0.9226190476190477,0.9226080793763289
cv5_fold3_mctafd_no_se_nmel64_fmax8000_seed3407,mctafd_no_se_direct,3,3407,mctafd,False,64,8000.0,,,,,,,19,0.949944382647386,0.9107142857142857,0.9112036380817388
cv5_fold4_mctafd_no_se_nmel64_fmax8000_seed3407,mctafd_no_se_direct,4,3407,mctafd,False,64,8000.0,,,,,,,12,0.9583217560433455,0.9166666666666666,0.9175135501355014
cv5_gated_fold0_mctafd_no_se_seed42,mctafd_no_se_gated,0,42,mctafd,False,64,8000.0,0.0,0.0,gated,-4.0,0.01807041233405471,0.018559662625193596,14,0.9582289055973267,0.9226190476190477,0.921268925739005
cv5_gated_fold1_mctafd_no_se_seed42,mctafd_no_se_gated,1,42,mctafd,False,64,8000.0,0.0,0.0,gated,-4.0,0.01820293813943863,0.018336370587348938,9,0.95,0.8988095238095238,0.8977659048908568
