noise_environment,snr_db,method,n,mean_macro_f1,std_macro_f1,mean_top1_acc,mean_top2_acc,mean_ece,mean_brier,mean_nll,mean_aurc,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_macro_f1_degradation_vs_clean,condition_family
TBUS,10.0,hierarchical,15,0.6273233218108385,0.015715360527585275,0.699206349206349,0.7555555555555554,0.27690448011197744,0.5753786524136861,4.90268341700236,0.22289241465180312,0.921031746031746,0.29900489297510996,0.3281758796439009,
TBUS,10.0,prototype,15,0.6257824554988091,0.011547000336745819,0.6980158730158729,0.7551587301587301,0.2703305236403904,0.5707772970199585,4.67873576482137,0.22036813113589002,0.9249999999999999,0.29546005049657775,0.32655037676611764,
TBUS,10.0,raw_softmax,15,0.6221387811599786,0.018899708219161343,0.694047619047619,0.7654761904761904,0.2539529929440173,0.5616487840811412,1.8150798559188843,0.16892624524798686,0.9206349206349207,0.2978877967649155,0.3281049081630922,
TBUS,20.0,fused,15,0.6640730246921703,0.04744911397289773,0.7222222222222221,0.8031746031746033,0.24881205282041002,0.5210877001285553,2.311668316523234,0.146341974736511,0.9166666666666665,0.27029436181621036,0.2902162156148958,
TBUS,20.0,hierarchical,15,0.6704515243966721,0.04809170129739995,0.7261904761904762,0.7924603174603175,0.24864624012557293,0.5231801887353261,3.936409091949463,0.19113926387715616,0.923015873015873,0.26931766606931096,0.2850476770580672,
TBUS,20.0,prototype,15,0.6674344477667696,0.043495810638130204,0.7234126984126984,0.7908730158730158,0.24477095211309102,0.5189506193002065,3.701936213175456,0.18595854273088086,0.926190476190476,0.26621936759134707,0.28489838449815713,
TBUS,20.0,raw_softmax,15,0.6603313236819368,0.04710449132406777,0.7178571428571429,0.803968253968254,0.22818280297612384,0.5090084592501323,1.4748411297798156,0.13370534281577937,0.9158730158730158,0.2685960379730531,0.28991236564113393,
clean,clean,fused,15,0.954289240307066,0.009765697188451602,0.9543650793650792,1.0,0.027334726282528463,0.0720946247378985,0.12191390444835028,0.004766126472532083,0.9242063492063493,0.023403428873973887,0.0,
clean,clean,hierarchical,15,0.9554992014547394,0.010792536013919921,0.9555555555555555,1.0,0.02931161830349573,0.07141313950220744,0.12827253739039104,0.004702624215611667,0.9285714285714287,0.022386695928644722,0.0,
clean,clean,prototype,15,0.9523328322649266,0.01275378419840185,0.9523809523809523,1.0,0.02545640277011055,0.07023275742928187,0.11769685844580333,0.004604761478578477,0.9277777777777777,0.021588755512985093,0.0,
clean,clean,raw_softmax,15,0.9502436893230706,0.013217625824735258,0.9503968253968254,1.0,0.0309443235397339,0.07691886723041534,0.1281961664557457,0.00535180263426974,0.9277777777777778,0.025433294682014,0.0,
ALL_NOISY,GROUP,fused,15,0.620245683250211,0.022981799623580546,0.6864638447971783,0.7719135802469135,0.2799701087347624,0.5852515106951749,2.931888090681147,0.18535370525399025,0.9146825396825398,0.3024648554235387,,all_noisy
ALL_NOISY,GROUP,hierarchical,15,0.6207570479194712,0.02344925721099016,0.6862874779541447,0.7656084656084657,0.28273264961267913,0.5898448810533241,4.5951757113138845,0.2102609100016785,0.9179012345679013,0.3040171397311143,,all_noisy
ALL_NOISY,GROUP,prototype,15,0.6246620602604689,0.02274465892445232,0.6902116402116402,0.7653439153439153,0.274920960273955,0.5803606592946582,4.361197224369756,0.20802939123495864,0.9218694885361552,0.2991857797747844,,all_noisy
ALL_NOISY,GROUP,raw_softmax,15,0.6159410121527839,0.02508100972320153,0.6821428571428572,0.772795414462081,0.2631083802781618,0.5762295822302499,1.8702236129177938,0.17982682464436725,0.9171957671957672,0.30468704212453834,,all_noisy
MODERATE_NOISE,GROUP,fused,15,0.6496575639686475,0.0258266758326042,0.7103174603174603,0.7883597883597883,0.259145781378109,0.5434487357735633,2.678945575157802,0.1717756625668213,0.9159391534391533,0.28158414263125564,,moderate_noise
MODERATE_NOISE,GROUP,hierarchical,15,0.6525566504445799,0.027055083744567384,0.7117063492063491,0.7799603174603174,0.260749039986225,0.5460845766796005,4.337044805950589,0.20312153324012053,0.9199735449735449,0.28168752263697977,,moderate_noise
MODERATE_NOISE,GROUP,prototype,15,0.6540766356263258,0.02486150597784751,0.713558201058201,0.7794973544973546,0.2541223296530978,0.53906110442347,4.11989939212799,0.200518940671693,0.9251322751322751,0.27774723152181985,,moderate_noise
MODERATE_NOISE,GROUP,raw_softmax,15,0.6454417303069032,0.02730609014924268,0.705820105820106,0.7898148148148149,0.2417695083650489,0.5355462256405089,1.7040102372566859,0.1627379226806798,0.9184523809523809,0.28311602064983066,,moderate_noise
EXTREME_STRESS,GROUP,fused,15,0.5614219218133379,0.02667887018803284,0.6387566137566137,0.7390211640211639,0.32161876344806933,0.668857060538398,3.4377731217278376,0.2125097906283281,0.9121693121693123,0.34422628100810476,,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,hierarchical,15,0.5571578428692542,0.026775768976546196,0.6354497354497355,0.7369047619047618,0.3266998688655871,0.677365489800771,5.1114375220404735,0.2245396635247944,0.9137566137566139,0.34867637391938305,,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,prototype,15,0.5658329095287545,0.02580300581228054,0.6435185185185186,0.7370370370370369,0.3165182215156694,0.6629597690370349,4.843792888853285,0.2230502923614899,0.9153439153439155,0.3420628762807134,,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,raw_softmax,15,0.5569395758445448,0.029653490496291787,0.6347883597883599,0.7387566137566137,0.30578612410438755,0.6575962954097324,2.2026503642400104,0.21400462857174224,0.9146825396825395,0.3478290850739538,,extreme simulated-noise stress condition
