experiment,seed,test_macro_f1,best_val_macro_f1,gate_1,gate_2,gate_3,gate_4,gate_mean,gate_max
cv5_gated_boundary_fold3_mctafd_no_se_w05_seed3407,3407,0.9095397570095352,0.9245336348219333,0.019469205290079117,0.01770477555692196,0.01769457943737507,0.01825701631605625,0.0182813941501081,0.019469205290079117
cv5_gated_boundary_fold3_mctafd_no_se_w05_seed42,42,0.9226080793763289,0.9244755244755245,0.018480341881513596,0.01726473681628704,0.018344074487686157,0.01819094829261303,0.018070025369524956,0.018480341881513596
cv5_gated_boundary_fold4_mctafd_no_se_w02_seed2024,2024,0.9052966159560811,0.9330357142857143,0.0185115747153759,0.017250463366508484,0.01813128963112831,0.01856289803981781,0.018114056438207626,0.01856289803981781
cv5_gated_boundary_fold4_mctafd_no_se_w02_seed3407,3407,0.9285309132161088,0.9415204678362573,0.019191231578588486,0.01792711392045021,0.017878293991088867,0.0184859037399292,0.01837063580751419,0.019191231578588486
cv5_gated_boundary_fold4_mctafd_no_se_w02_seed42,42,0.9285714285714286,0.9497767857142857,0.01820755936205387,0.017942776903510094,0.018355270847678185,0.018236473202705383,0.018185520078986883,0.018355270847678185
cv5_gated_boundary_fold4_mctafd_no_se_w05_seed2024,2024,0.9102053752535497,0.9332591768631813,0.01833781599998474,0.0171966515481472,0.01849157176911831,0.018923737108707428,0.01823744410648942,0.018923737108707428
cv5_gated_boundary_fold4_mctafd_no_se_w05_seed3407,3407,0.9225202213707961,0.9583217560433455,0.019261641427874565,0.017687343060970306,0.017740461975336075,0.01851317659020424,0.018300655763596296,0.019261641427874565
cv5_gated_boundary_fold4_mctafd_no_se_w05_seed42,42,0.9223439055610866,0.9666666666666668,0.01833965815603733,0.018027938902378082,0.018731629475951195,0.01817660965025425,0.018318959046155214,0.018731629475951195
cv5_gated_fold0_mctafd_no_se_seed2024,2024,0.9275445658424382,0.9582289055973267,0.018753791227936745,0.017325187101960182,0.018332254141569138,0.018523061648011208,0.018233573529869318,0.018753791227936745
cv5_gated_fold0_mctafd_no_se_seed3407,3407,0.9100648528145109,0.9415204678362573,0.019127659499645233,0.01760326884686947,0.017963223159313202,0.01844455860555172,0.018284677527844906,0.019127659499645233
cv5_gated_fold0_mctafd_no_se_seed42,42,0.921268925739005,0.9582289055973267,0.018208598718047142,0.016965417191386223,0.018547970801591873,0.018559662625193596,0.01807041233405471,0.018559662625193596
cv5_gated_fold1_mctafd_no_se_seed2024,2024,0.9169598224120109,0.9408617290903971,0.01829352416098118,0.01745571196079254,0.018636425957083702,0.01871500536799431,0.018275166861712933,0.01871500536799431
cv5_gated_fold1_mctafd_no_se_seed3407,3407,0.9233142037302726,0.9665178571428572,0.019174953922629356,0.017702793702483177,0.018041327595710754,0.01839534007012844,0.018328603822737932,0.019174953922629356
cv5_gated_fold1_mctafd_no_se_seed42,42,0.8977659048908568,0.95,0.018336370587348938,0.017914090305566788,0.01825094036757946,0.01831035129725933,0.01820293813943863,0.018336370587348938
cv5_gated_fold2_mctafd_no_se_seed2024,2024,0.9345145287030475,0.9332591768631813,0.018497882410883904,0.017321834340691566,0.01897970587015152,0.01852395012974739,0.018330843187868595,0.01897970587015152
cv5_gated_fold2_mctafd_no_se_seed3407,3407,0.9523539421440725,0.9332591768631813,0.01925862766802311,0.017847426235675812,0.0180836021900177,0.018395882099866867,0.018396384548395872,0.01925862766802311
cv5_gated_fold2_mctafd_no_se_seed42,42,0.9096774193548387,0.9494949494949495,0.01843082532286644,0.017423657700419426,0.018327394500374794,0.01833176240324974,0.0181284099817276,0.01843082532286644
