experiment,protocol,model,fold,seed,feature_mode,use_se,n_mels,n_mfcc,fmin,fmax,n_fft,hop_length,win_length,sr,dur_s,fusion_type,aux_gate_init,gate_mean,gate_max,boundary_loss_weight,boundary_warmup_epochs,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
cv5_expanded_cap3x_fold1_logmel_seed42,cap3x,logmel,1,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,16,0.9416504584606835,0.9107142857142857,0.9111031203465547
cv5_expanded_cap3x_fold2_logmel_seed42,cap3x,logmel,2,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,10,0.9497767857142857,0.9345238095238095,0.9342909970132272
cv5_expanded_cap3x_fold3_logmel_seed42,cap3x,logmel,3,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,7,0.9332591768631813,0.9226190476190477,0.922077922077922
cv5_expanded_cap3x_fold4_logmel_seed42,cap3x,logmel,4,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,16,0.9494949494949495,0.8988095238095238,0.8954765041721563
cv5_expanded_cap3x_fold0_logmel_seed123,cap3x,logmel,0,123,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,17,0.9583217560433455,0.9464285714285714,0.9462380884653676
cv5_expanded_cap3x_fold1_logmel_seed123,cap3x,logmel,1,123,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,28,0.9583217560433455,0.9345238095238095,0.9345145287030475
cv5_expanded_cap3x_fold2_logmel_seed123,cap3x,logmel,2,123,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,19,0.9332591768631813,0.9345238095238095,0.9345145287030475
cv5_expanded_cap3x_fold3_logmel_seed123,cap3x,logmel,3,123,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,17,0.9415204678362573,0.9226190476190477,0.922077922077922
cv5_expanded_cap3x_fold4_logmel_seed123,cap3x,logmel,4,123,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,17,0.9665178571428572,0.9107142857142857,0.9091564527757751
cv5_expanded_cap3x_fold0_logmel_seed777,cap3x,logmel,0,777,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,8,0.95,0.9107142857142857,0.9102114339711789
cv5_expanded_cap3x_fold1_logmel_seed777,cap3x,logmel,1,777,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,7,0.9413510457885811,0.9166666666666666,0.9171286031042128
cv5_expanded_cap3x_fold2_logmel_seed777,cap3x,logmel,2,777,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,14,0.9244755244755245,0.9404761904761905,0.9401709401709402
cv5_expanded_cap3x_fold3_logmel_seed777,cap3x,logmel,3,777,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,11,0.9329072890617764,0.9404761904761905,0.9404424276800907
cv5_expanded_cap3x_fold4_logmel_seed777,cap3x,logmel,4,777,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,10,0.9412587412587412,0.8928571428571429,0.8918764302059496
cv5_expanded_cap3x_fold0_logmel_seed2024,cap3x,logmel,0,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,6,0.9583217560433455,0.9285714285714286,0.9285309132161088
cv5_expanded_cap3x_fold1_logmel_seed2024,cap3x,logmel,1,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,14,0.95,0.9047619047619048,0.9048922389847784
cv5_expanded_cap3x_fold2_logmel_seed2024,cap3x,logmel,2,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,15,0.9249791608780217,0.9345238095238095,0.9340384388036006
cv5_expanded_cap3x_fold3_logmel_seed2024,cap3x,logmel,3,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,16,0.9332591768631813,0.9285714285714286,0.9285309132161088
cv5_expanded_cap3x_fold4_logmel_seed2024,cap3x,logmel,4,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,28,0.9582289055973267,0.9166666666666666,0.9149305555555555
cv5_expanded_cap3x_fold0_logmel_seed3407,cap3x,logmel,0,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,19,0.9666666666666668,0.9345238095238095,0.9345145287030475
cv5_expanded_cap3x_fold1_logmel_seed3407,cap3x,logmel,1,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,6,0.9244755244755245,0.9166666666666666,0.9175135501355014
cv5_expanded_cap3x_fold2_logmel_seed3407,cap3x,logmel,2,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,11,0.9497767857142857,0.9285714285714286,0.9273653590991052
cv5_expanded_cap3x_fold3_logmel_seed3407,cap3x,logmel,3,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,17,0.9332591768631813,0.9285714285714286,0.928409090909091
cv5_expanded_cap3x_fold4_logmel_seed3407,cap3x,logmel,4,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,21,0.949944382647386,0.9047619047619048,0.9033927544565843
cv5_expanded_cap3x_fold0_logmel_dur2_attn_seed42,cap3x,logmel_dur2_attn,0,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,15,0.9833333333333334,0.9404761904761905,0.9404424276800907
cv5_expanded_cap3x_fold1_logmel_dur2_attn_seed42,cap3x,logmel_dur2_attn,1,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,3,0.9749930536260072,0.9285714285714286,0.9289464254323692
cv5_expanded_cap3x_fold2_logmel_dur2_attn_seed42,cap3x,logmel_dur2_attn,2,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,21,0.9916643512086691,0.9464285714285714,0.9464209780297661
cv5_expanded_cap3x_fold3_logmel_dur2_attn_seed42,cap3x,logmel_dur2_attn,3,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,12,0.9582289055973267,0.9226190476190477,0.9226080793763288
cv5_expanded_cap3x_fold4_logmel_dur2_attn_seed42,cap3x,logmel_dur2_attn,4,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,14,0.9583217560433455,0.9761904761904762,0.9761904761904763
cv5_expanded_cap3x_fold0_logmel_dur2_attn_seed2024,cap3x,logmel_dur2_attn,0,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,8,0.9749373433583959,0.9107142857142857,0.9077733860342556
cv5_expanded_cap3x_fold1_logmel_dur2_attn_seed2024,cap3x,logmel_dur2_attn,1,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,3,0.9665178571428572,0.9285714285714286,0.9287933905512715
cv5_expanded_cap3x_fold2_logmel_dur2_attn_seed2024,cap3x,logmel_dur2_attn,2,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,26,0.9749930536260072,0.9345238095238095,0.9345145287030475
cv5_expanded_cap3x_fold3_logmel_dur2_attn_seed2024,cap3x,logmel_dur2_attn,3,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,14,0.9749930536260072,0.9583333333333334,0.9583274273564847
cv5_expanded_cap3x_fold4_logmel_dur2_attn_seed2024,cap3x,logmel_dur2_attn,4,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,13,0.9666295884315906,0.9761904761904762,0.9761769710720363
cv5_expanded_cap3x_fold0_logmel_dur2_attn_seed3407,cap3x,logmel_dur2_attn,0,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,9,0.974937343358396,0.9345238095238095,0.9344401873137506
cv5_expanded_cap3x_fold1_logmel_dur2_attn_seed3407,cap3x,logmel_dur2_attn,1,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,11,0.9666295884315906,0.9345238095238095,0.9342909970132272
cv5_expanded_cap3x_fold2_logmel_dur2_attn_seed3407,cap3x,logmel_dur2_attn,2,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,18,0.9666666666666668,0.9404761904761905,0.9404761904761905
cv5_expanded_cap3x_fold3_logmel_dur2_attn_seed3407,cap3x,logmel_dur2_attn,3,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,19,0.9749930536260072,0.9464285714285714,0.9464829013021784
cv5_expanded_cap3x_fold4_logmel_dur2_attn_seed3407,cap3x,logmel_dur2_attn,4,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,16,0.9666666666666668,0.9702380952380952,0.9702000851426138
cv5_expanded_cap3x_fold0_logmel_bilstm_seed42,cap3x,logmel_bilstm,0,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,12,0.9666295884315906,0.9345238095238095,0.9342909970132272
cv5_expanded_cap3x_fold1_logmel_bilstm_seed42,cap3x,logmel_bilstm,1,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,12,0.9416504584606835,0.8988095238095238,0.8992984717612469
cv5_expanded_cap3x_fold2_logmel_bilstm_seed42,cap3x,logmel_bilstm,2,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,20,0.95,0.9226190476190477,0.9226080793763288
cv5_expanded_cap3x_fold3_logmel_bilstm_seed42,cap3x,logmel_bilstm,3,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,11,0.9412406223951097,0.9166666666666666,0.9164772727272728
cv5_expanded_cap3x_fold4_logmel_bilstm_seed42,cap3x,logmel_bilstm,4,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,16,0.9580419580419581,0.9107142857142857,0.9096774193548387
cv5_expanded_cap3x_fold0_logmel_bilstm_seed2024,cap3x,logmel_bilstm,0,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,15,0.9666666666666668,0.9345238095238095,0.934199628127113
cv5_expanded_cap3x_fold1_logmel_bilstm_seed2024,cap3x,logmel_bilstm,1,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,33,0.9580419580419581,0.9226190476190477,0.9225202213707961
cv5_expanded_cap3x_fold2_logmel_bilstm_seed2024,cap3x,logmel_bilstm,2,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,8,0.9412587412587412,0.9285714285714286,0.9273653590991052
cv5_expanded_cap3x_fold3_logmel_bilstm_seed2024,cap3x,logmel_bilstm,3,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,9,0.9415204678362573,0.9107142857142857,0.9112036380817388
cv5_expanded_cap3x_fold4_logmel_bilstm_seed2024,cap3x,logmel_bilstm,4,2024,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,4,0.9412587412587412,0.8869047619047619,0.8861138861138861
cv5_expanded_cap3x_fold0_logmel_bilstm_seed3407,cap3x,logmel_bilstm,0,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,3,0.9665178571428572,0.8988095238095238,0.898101898101898
cv5_expanded_cap3x_fold1_logmel_bilstm_seed3407,cap3x,logmel_bilstm,1,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,2,0.9408617290903971,0.875,0.8760835490536015
cv5_expanded_cap3x_fold2_logmel_bilstm_seed3407,cap3x,logmel_bilstm,2,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,17,0.9415204678362573,0.9107142857142857,0.9106002554278416
cv5_expanded_cap3x_fold3_logmel_bilstm_seed3407,cap3x,logmel_bilstm,3,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,14,0.924812030075188,0.9107142857142857,0.9106002554278416
cv5_expanded_cap3x_fold4_logmel_bilstm_seed3407,cap3x,logmel_bilstm,4,3407,logmel,True,64,20,50,8000.0,1024,320,800,32000,1.0,direct,-4.0,,,0.0,0,10,0.9412587412587412,0.8869047619047619,0.8861138861138861
cv5_expanded_cap3x_fold0_logmel_dur2_seed42,cap3x,logmel_dur2,0,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,16,0.9833333333333334,0.9464285714285714,0.9464209780297661
cv5_expanded_cap3x_fold1_logmel_dur2_seed42,cap3x,logmel_dur2,1,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,7,0.9666295884315906,0.9464285714285714,0.946053946053946
cv5_expanded_cap3x_fold2_logmel_dur2_seed42,cap3x,logmel_dur2,2,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,8,0.9665178571428572,0.9345238095238095,0.9344401873137506
cv5_expanded_cap3x_fold3_logmel_dur2_seed42,cap3x,logmel_dur2,3,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,13,0.9582289055973265,0.9404761904761905,0.9403409090909091
cv5_expanded_cap3x_fold4_logmel_dur2_seed42,cap3x,logmel_dur2,4,42,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,12,0.9583217560433455,0.9702380952380952,0.9702000851426138
cv5_expanded_cap3x_fold0_logmel_dur2_seed123,cap3x,logmel_dur2,0,123,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,7,0.9749930536260072,0.9226190476190477,0.9225202213707961
cv5_expanded_cap3x_fold1_logmel_dur2_seed123,cap3x,logmel_dur2,1,123,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,7,0.9749930536260072,0.9583333333333334,0.9581851799175082
cv5_expanded_cap3x_fold2_logmel_dur2_seed123,cap3x,logmel_dur2,2,123,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,19,0.974937343358396,0.9464285714285714,0.946360153256705
cv5_expanded_cap3x_fold3_logmel_dur2_seed123,cap3x,logmel_dur2,3,123,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,22,0.9666666666666668,0.9523809523809523,0.9523539421440725
cv5_expanded_cap3x_fold4_logmel_dur2_seed123,cap3x,logmel_dur2,4,123,logmel,True,64,20,50,8000.0,1024,320,800,32000,2.0,direct,-4.0,,,0.0,0,13,0.9666295884315906,0.9761904761904762,0.9761904761904763
