noise_environment,snr_db,method,labels,confusion_matrix,cough_precision,cough_recall,cough_f1,calm_grunt_precision,calm_grunt_recall,calm_grunt_f1,feeding_precision,feeding_recall,feeding_f1,stress_vocal_precision,stress_vocal_recall,stress_vocal_f1,macro_f1_from_cm,feeding_to_stress,stress_to_feeding,cough_to_calm_grunt,cough_to_feeding,cough_to_stress_vocal,condition_family
TBUS,0.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 5, 0, 625], [0, 630, 0, 0], [0, 1, 468, 161], [0, 0, 34, 596]]",0.0,0.0,0.0,0.9905660377358491,1.0,0.9952606635071091,0.9322709163346613,0.7428571428571429,0.8268551236749117,0.4312590448625181,0.946031746031746,0.592445328031809,0.6036402788034574,161,34,5,0,625,
TBUS,0.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 9, 0, 621], [0, 630, 0, 0], [0, 0, 454, 176], [0, 1, 28, 601]]",0.0,0.0,0.0,0.984375,1.0,0.9921259842519685,0.941908713692946,0.7206349206349206,0.8165467625899282,0.42989985693848354,0.953968253968254,0.5927021696252466,0.6003437291167859,176,28,9,0,621,
TBUS,0.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 9, 0, 621], [0, 630, 0, 0], [0, 0, 483, 147], [0, 1, 33, 596]]",0.0,0.0,0.0,0.984375,1.0,0.9921259842519685,0.936046511627907,0.7666666666666667,0.8429319371727748,0.436950146627566,0.946031746031746,0.5977933801404212,0.6082128253912911,147,33,9,0,621,
TBUS,0.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 5, 0, 625], [0, 629, 0, 1], [0, 1, 459, 170], [0, 0, 33, 597]]",0.0,0.0,0.0,0.9905511811023622,0.9984126984126984,0.9944664031620553,0.9329268292682927,0.7285714285714285,0.8181818181818182,0.42857142857142855,0.9476190476190476,0.5902125556104795,0.6007151942385882,170,33,5,0,625,
TBUS,10.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[3, 0, 0, 627], [0, 630, 0, 0], [0, 0, 544, 86], [0, 0, 49, 581]]",1.0,0.004761904761904762,0.009478672985781991,1.0,1.0,1.0,0.9173693086003373,0.8634920634920635,0.8896156991005725,0.44899536321483774,0.9222222222222223,0.603950103950104,0.6257611190091146,86,49,0,0,627,
TBUS,10.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[3, 0, 0, 627], [0, 630, 0, 0], [0, 0, 538, 92], [0, 0, 39, 591]]",1.0,0.004761904761904762,0.009478672985781991,1.0,1.0,1.0,0.9324090121317158,0.8539682539682539,0.8914664457332229,0.45114503816793894,0.9380952380952381,0.6092783505154639,0.6275558673086172,92,39,0,0,627,
TBUS,10.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[3, 0, 0, 627], [0, 630, 0, 0], [0, 0, 546, 84], [0, 0, 50, 580]]",1.0,0.004761904761904762,0.009478672985781991,1.0,1.0,1.0,0.9161073825503355,0.8666666666666667,0.8907014681892332,0.4492641363284276,0.9206349206349206,0.6038521603331598,0.6260080753770438,84,50,0,0,627,
TBUS,10.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[3, 0, 0, 627], [0, 630, 0, 0], [0, 0, 536, 94], [0, 0, 50, 580]]",1.0,0.004761904761904762,0.009478672985781991,1.0,1.0,1.0,0.9146757679180887,0.8507936507936508,0.8815789473684211,0.4458109146810146,0.9206349206349206,0.6007250129466597,0.6229456583252158,94,50,0,0,627,
TBUS,20.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[49, 0, 0, 581], [0, 630, 0, 0], [0, 0, 564, 66], [0, 0, 53, 577]]",1.0,0.07777777777777778,0.1443298969072165,1.0,1.0,1.0,0.9141004862236629,0.8952380952380953,0.9045709703287891,0.4714052287581699,0.9158730158730158,0.622437971952535,0.6678347097971351,66,53,0,0,581,
TBUS,20.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[54, 0, 0, 576], [0, 630, 0, 0], [0, 0, 556, 74], [0, 0, 40, 590]]",1.0,0.08571428571428572,0.15789473684210528,1.0,1.0,1.0,0.9328859060402684,0.8825396825396825,0.9070146818923329,0.47580645161290325,0.9365079365079365,0.6310160427807486,0.6739813653787967,74,40,0,0,576,
TBUS,20.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[54, 0, 0, 576], [0, 630, 0, 0], [0, 0, 562, 68], [0, 0, 53, 577]]",1.0,0.08571428571428572,0.15789473684210528,1.0,1.0,1.0,0.9138211382113821,0.8920634920634921,0.9028112449799196,0.4725634725634726,0.9158730158730158,0.6234467855213398,0.6710381918358412,68,53,0,0,576,
TBUS,20.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[49, 0, 0, 581], [0, 630, 0, 0], [0, 0, 555, 75], [0, 0, 55, 575]]",1.0,0.07777777777777778,0.1443298969072165,1.0,1.0,1.0,0.9098360655737705,0.8809523809523809,0.8951612903225806,0.4670999187652315,0.9126984126984127,0.6179473401397098,0.6643596318423767,75,55,0,0,581,
clean,clean,fused,cough|calm_grunt|feeding|stress_vocal,"[[630, 0, 0, 0], [0, 630, 0, 0], [0, 0, 568, 62], [0, 0, 53, 577]]",1.0,1.0,1.0,1.0,1.0,1.0,0.9146537842190016,0.9015873015873016,0.9080735411670663,0.9029733959311425,0.9158730158730158,0.9093774625689519,0.9543627509340045,62,53,0,0,0,
clean,clean,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[630, 0, 0, 0], [0, 630, 0, 0], [0, 0, 561, 69], [0, 0, 43, 587]]",1.0,1.0,1.0,1.0,1.0,1.0,0.9288079470198676,0.8904761904761904,0.9092382495948136,0.8948170731707317,0.9317460317460318,0.9129082426127527,0.9555366230518916,69,43,0,0,0,
clean,clean,prototype,cough|calm_grunt|feeding|stress_vocal,"[[630, 0, 0, 0], [0, 630, 0, 0], [0, 0, 564, 66], [0, 0, 54, 576]]",1.0,1.0,1.0,1.0,1.0,1.0,0.912621359223301,0.8952380952380953,0.903846153846154,0.897196261682243,0.9142857142857143,0.9056603773584906,0.9523766328011611,66,54,0,0,0,
clean,clean,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[630, 0, 0, 0], [0, 630, 0, 0], [0, 0, 560, 70], [0, 0, 55, 575]]",1.0,1.0,1.0,1.0,1.0,1.0,0.9105691056910569,0.8888888888888888,0.899598393574297,0.8914728682170543,0.9126984126984127,0.9019607843137255,0.9503897944720056,70,55,0,0,0,
ALL_NOISY,GROUP,fused,cough|calm_grunt|feeding|stress_vocal,"[[267, 20, 0, 5383], [0, 5668, 0, 2], [0, 54, 4321, 1295], [0, 10, 347, 5313]]",1.0,0.04708994708994709,0.089944416371905,0.9853963838664812,0.999647266313933,0.9924706706356156,0.9256640959725793,0.7620811287477954,0.8359450570710001,0.4430084215792546,0.937037037037037,0.6015965577761422,0.6299891754636657,1295,347,20,0,5383,all_noisy
ALL_NOISY,GROUP,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[287, 63, 0, 5320], [0, 5668, 0, 2], [0, 62, 4237, 1371], [0, 16, 281, 5373]]",1.0,0.050617283950617285,0.09635722679200939,0.9757273196763643,0.999647266313933,0.9875424688561721,0.9378043382027446,0.7472663139329806,0.831762858264625,0.44530084535057185,0.9476190476190476,0.6058863328822733,0.6303872216987699,1371,281,63,0,5320,all_noisy
ALL_NOISY,GROUP,prototype,cough|calm_grunt|feeding|stress_vocal,"[[294, 75, 0, 5301], [0, 5668, 0, 2], [0, 70, 4389, 1211], [0, 17, 350, 5303]]",1.0,0.05185185185185185,0.09859154929577466,0.97221269296741,0.999647266313933,0.9857391304347826,0.9261447562776958,0.774074074074074,0.8433086751849361,0.44876026064144875,0.935273368606702,0.6065076914279178,0.6335367615858528,1211,350,75,0,5301,all_noisy
ALL_NOISY,GROUP,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[260, 20, 0, 5390], [0, 5666, 0, 4], [0, 54, 4235, 1381], [0, 10, 350, 5310]]",1.0,0.04585537918871252,0.08768971332209106,0.9853913043478261,0.9992945326278659,0.992294220665499,0.9236641221374046,0.7469135802469136,0.8259385665529011,0.439387670666115,0.9365079365079365,0.5981413686285553,0.6260159672922616,1381,350,20,0,5390,all_noisy
MODERATE_NOISE,GROUP,fused,cough|calm_grunt|feeding|stress_vocal,"[[261, 0, 0, 3519], [0, 3780, 0, 0], [0, 2, 3192, 586], [0, 0, 273, 3507]]",1.0,0.06904761904761905,0.1291759465478842,0.9994711792702274,1.0,0.9997355197037822,0.9212121212121213,0.8444444444444444,0.8811594202898552,0.46071991592222805,0.9277777777777778,0.6156952247191011,0.6564415278151557,586,273,0,0,3519,moderate_noise
MODERATE_NOISE,GROUP,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[281, 1, 0, 3498], [0, 3780, 0, 0], [0, 2, 3141, 637], [0, 0, 221, 3559]]",1.0,0.07433862433862434,0.13838955922186655,0.9992069785884219,1.0,0.9996033320111067,0.9342653182629387,0.830952380952381,0.879585550266032,0.4625682349883026,0.9415343915343916,0.6203590726860729,0.6594843785462695,637,221,1,0,3498,moderate_noise
MODERATE_NOISE,GROUP,prototype,cough|calm_grunt|feeding|stress_vocal,"[[287, 1, 0, 3492], [0, 3780, 0, 0], [0, 2, 3221, 557], [0, 0, 279, 3501]]",1.0,0.07592592592592592,0.14113597246127366,0.9992069785884219,1.0,0.9996033320111067,0.9202857142857143,0.8521164021164022,0.8848901098901099,0.4637086092715232,0.9261904761904762,0.6180052956751986,0.6609086775094223,557,279,1,0,3492,moderate_noise
MODERATE_NOISE,GROUP,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[256, 0, 0, 3524], [0, 3780, 0, 0], [0, 2, 3135, 643], [0, 0, 279, 3501]]",1.0,0.06772486772486773,0.12685827552031717,0.9994711792702274,1.0,0.9997355197037822,0.9182776801405975,0.8293650793650794,0.8715596330275229,0.4565727699530516,0.9261904761904762,0.6116352201257861,0.6524471620943522,643,279,0,0,3524,moderate_noise
EXTREME_STRESS,GROUP,fused,cough|calm_grunt|feeding|stress_vocal,"[[6, 20, 0, 1864], [0, 1888, 0, 2], [0, 52, 1129, 709], [0, 10, 74, 1806]]",1.0,0.0031746031746031746,0.006329113924050633,0.9583756345177665,0.9989417989417989,0.978238341968912,0.9384871155444722,0.5973544973544973,0.7300355641771743,0.41223464962337364,0.9555555555555556,0.5759846914367724,0.5726469278767273,709,74,20,0,1864,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[6, 62, 0, 1822], [0, 1888, 0, 2], [0, 60, 1096, 734], [0, 16, 60, 1814]]",1.0,0.0031746031746031746,0.006329113924050633,0.9318854886475815,0.9989417989417989,0.9642492339121552,0.9480968858131488,0.5798941798941799,0.7196323046618516,0.4149130832570906,0.9597883597883597,0.579367614180773,0.5673945666697076,734,60,62,0,1822,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,prototype,cough|calm_grunt|feeding|stress_vocal,"[[7, 74, 0, 1809], [0, 1888, 0, 2], [0, 68, 1168, 654], [0, 17, 71, 1802]]",1.0,0.003703703703703704,0.007380073800738007,0.9223253541768441,0.9989417989417989,0.9591059182118366,0.9426957223567393,0.617989417989418,0.7465643975711089,0.42231075697211157,0.9534391534391534,0.5853500081208382,0.5746000994261304,654,71,74,0,1809,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[4, 20, 0, 1866], [0, 1886, 0, 4], [0, 52, 1100, 738], [0, 10, 71, 1809]]",1.0,0.0021164021164021165,0.004223864836325237,0.9583333333333334,0.9978835978835979,0.977708657335407,0.9393680614859095,0.582010582010582,0.718719372754002,0.4095539959248359,0.9571428571428572,0.5736483272554305,0.5685750555452911,738,71,20,0,1866,extreme simulated-noise stress condition
