experiment,feature_mode,use_se,seed,n_mels,n_mfcc,fmin,fmax,n_fft,hop_length,win_length,sr,dur_s,boundary_loss_weight,boundary_warmup_epochs,fusion_type,aux_gate_init,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
cv5_boundary_fold1_logmel_w02_seed2024,logmel,True,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,16,0.9494949494949495,0.9107142857142857,0.9116441507735926
cv5_boundary_fold1_logmel_w02_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,12,0.9332591768631813,0.9107142857142857,0.9110892887955097
cv5_boundary_fold1_logmel_w02_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.2,5.0,direct,-4.0,12,0.9332591768631813,0.9107142857142857,0.9110892887955097
cv5_boundary_fold1_logmel_w02_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,12,0.9332591768631813,0.9107142857142857,0.9110892887955097
cv5_boundary_fold1_logmel_w02_seed42,logmel,True,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,28,0.9497767857142857,0.8988095238095238,0.8997847919655666
cv5_boundary_fold1_logmel_w02_seed42,logmel,True,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,28,0.9497767857142857,0.8988095238095238,0.8997847919655666
cv5_boundary_fold1_logmel_w02_seed42,logmel,True,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.2,5.0,direct,-4.0,28,0.9497767857142857,0.8988095238095238,0.8997847919655666
cv5_boundary_fold1_logmel_w05_seed2024,logmel,True,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,14,0.949944382647386,0.9047619047619048,0.9057241444507469
cv5_boundary_fold1_logmel_w05_seed2024,logmel,True,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.5,5.0,,,14,0.949944382647386,0.9047619047619048,0.9057241444507469
cv5_boundary_fold1_logmel_w05_seed2024,logmel,True,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,14,0.949944382647386,0.9047619047619048,0.9057241444507469
