experiment,model,fold,seed,test_macro_f1,test_acc,test_aux_macro_f1,best_val_macro_f1,best_epoch,hier_aux_weight
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w10_seed777,logmel_dur2_hier_w10,3,777,0.946360153256705,0.9464285714285714,0.747304493086976,0.9582289055973267,7,1.0
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w10_seed777,logmel_dur2_hier_w10,4,777,0.9880952380952381,0.9880952380952381,0.9586223682609224,0.9666295884315906,18,1.0
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w10_seed2024,logmel_dur2_hier_w10,0,2024,0.9462380884653676,0.9464285714285714,0.7068986568986569,0.9833333333333334,12,1.0
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w10_seed2024,logmel_dur2_hier_w10,1,2024,0.9583274273564847,0.9583333333333334,0.791872786098537,0.9666666666666668,6,1.0
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w10_seed2024,logmel_dur2_hier_w10,2,2024,0.9279443751235843,0.9285714285714286,0.8021365659663533,0.974937343358396,10,1.0
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w10_seed2024,logmel_dur2_hier_w10,3,2024,0.946053946053946,0.9464285714285714,0.793939393939394,0.9583217560433455,7,1.0
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w10_seed2024,logmel_dur2_hier_w10,4,2024,0.9582801191996594,0.9583333333333334,0.772140822140822,0.9666666666666668,5,1.0
cv5_expanded_cap3x_fold0_logmel_dur2_hier_w10_seed3407,logmel_dur2_hier_w10,0,3407,0.9340659340659341,0.9345238095238095,0.7700304026193026,0.9916643512086691,17,1.0
cv5_expanded_cap3x_fold1_logmel_dur2_hier_w10_seed3407,logmel_dur2_hier_w10,1,3407,0.9580419580419581,0.9583333333333334,0.7876760364870504,0.9665178571428572,14,1.0
cv5_expanded_cap3x_fold2_logmel_dur2_hier_w10_seed3407,logmel_dur2_hier_w10,2,3407,0.9344401873137506,0.9345238095238095,0.8295262039448086,0.9833333333333334,14,1.0
cv5_expanded_cap3x_fold3_logmel_dur2_hier_w10_seed3407,logmel_dur2_hier_w10,3,3407,0.9523809523809523,0.9523809523809523,0.8940595353285953,0.9582289055973267,31,1.0
cv5_expanded_cap3x_fold4_logmel_dur2_hier_w10_seed3407,logmel_dur2_hier_w10,4,3407,0.9642654566080544,0.9642857142857143,0.7964656762580308,0.9665178571428572,11,1.0
