rank,source_wav,frame_csv,source_start_s,source_end_s,center_s,clip_start_s,clip_end_s,prob_cough,out_wav
48,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,307.7,308.7,308.2,307.7,308.7,0.7303258180618286,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank048_p0.730_src307.70-308.70_clip307.70-308.70.wav
49,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,29.2,30.2,29.7,29.2,30.2,0.7264505624771118,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank049_p0.726_src29.20-30.20_clip29.20-30.20.wav
50,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,41.5,42.5,42.0,41.5,42.5,0.7217484712600708,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank050_p0.722_src41.50-42.50_clip41.50-42.50.wav
51,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,174.6,175.6,175.1,174.6,175.6,0.7126166820526123,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank051_p0.713_src174.60-175.60_clip174.60-175.60.wav
52,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,292.0,293.0,292.5,292.0,293.0,0.7120654582977295,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank052_p0.712_src292.00-293.00_clip292.00-293.00.wav
53,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,277.6,278.6,278.1,277.6,278.6,0.7086657881736755,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank053_p0.709_src277.60-278.60_clip277.60-278.60.wav
54,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,33.6,34.6,34.1,33.6,34.6,0.7077574729919434,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank054_p0.708_src33.60-34.60_clip33.60-34.60.wav
55,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,30.2,31.2,30.7,30.2,31.2,0.7048542499542236,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank055_p0.705_src30.20-31.20_clip30.20-31.20.wav
56,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,261.5,262.5,262.0,261.5,262.5,0.7044772505760193,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank056_p0.704_src261.50-262.50_clip261.50-262.50.wav
57,C:\py\pigsound\pig-sound-classification\data\external\aswine\data\audio\ALA_E_2_2020-09-30_14-58-48_774.wav,C:\py\pigsound\pig-sound-classification\det_ALA_000347_frames.csv,223.3,224.3,223.8,223.3,224.3,0.7041100263595581,C:\py\pigsound\pig-sound-classification\det_round2_clips\ALA_000347_oldv1\ALA_000347_oldv1_rank057_p0.704_src223.30-224.30_clip223.30-224.30.wav
