threshold,coverage,selective_risk,selective_acc,n_accepted,n_total
0.55,0.975,0.05128205128205132,0.9487179487179487,117,120
0.56,0.975,0.05128205128205132,0.9487179487179487,117,120
0.5700000000000001,0.975,0.05128205128205132,0.9487179487179487,117,120
0.58,0.975,0.05128205128205132,0.9487179487179487,117,120
0.59,0.9666666666666667,0.0431034482758621,0.9568965517241379,116,120
0.6,0.9666666666666667,0.0431034482758621,0.9568965517241379,116,120
0.61,0.9583333333333334,0.034782608695652195,0.9652173913043478,115,120
0.62,0.9583333333333334,0.034782608695652195,0.9652173913043478,115,120
0.63,0.9583333333333334,0.034782608695652195,0.9652173913043478,115,120
0.64,0.95,0.03508771929824561,0.9649122807017544,114,120
0.65,0.95,0.03508771929824561,0.9649122807017544,114,120
0.6510642766952515,0.95,0.03508771929824561,0.9649122807017544,114,120
0.66,0.9416666666666667,0.026548672566371723,0.9734513274336283,113,120
0.67,0.9416666666666667,0.026548672566371723,0.9734513274336283,113,120
0.68,0.9416666666666667,0.026548672566371723,0.9734513274336283,113,120
0.6900000000000001,0.9416666666666667,0.026548672566371723,0.9734513274336283,113,120
0.7000000000000001,0.9333333333333333,0.017857142857142905,0.9821428571428571,112,120
0.71,0.9333333333333333,0.017857142857142905,0.9821428571428571,112,120
0.72,0.9333333333333333,0.017857142857142905,0.9821428571428571,112,120
0.73,0.9333333333333333,0.017857142857142905,0.9821428571428571,112,120
0.74,0.9333333333333333,0.017857142857142905,0.9821428571428571,112,120
0.75,0.9333333333333333,0.017857142857142905,0.9821428571428571,112,120
0.76,0.925,0.018018018018018056,0.9819819819819819,111,120
0.77,0.9166666666666666,0.018181818181818188,0.9818181818181818,110,120
0.78,0.9166666666666666,0.018181818181818188,0.9818181818181818,110,120
0.79,0.9166666666666666,0.018181818181818188,0.9818181818181818,110,120
0.8,0.9083333333333333,0.01834862385321101,0.981651376146789,109,120
0.81,0.9,0.0092592592592593,0.9907407407407407,108,120
0.8200000000000001,0.9,0.0092592592592593,0.9907407407407407,108,120
0.8300000000000001,0.8916666666666667,0.0,1.0,107,120
0.84,0.8833333333333333,0.0,1.0,106,120
0.85,0.8833333333333333,0.0,1.0,106,120
0.86,0.8666666666666667,0.0,1.0,104,120
0.87,0.8416666666666667,0.0,1.0,101,120
0.88,0.8333333333333334,0.0,1.0,100,120
0.89,0.825,0.0,1.0,99,120
0.9,0.825,0.0,1.0,99,120
0.91,0.825,0.0,1.0,99,120
0.92,0.8166666666666667,0.0,1.0,98,120
0.93,0.8083333333333333,0.0,1.0,97,120
0.9400000000000001,0.7916666666666666,0.0,1.0,95,120
0.9500000000000001,0.7833333333333333,0.0,1.0,94,120
0.96,0.7416666666666667,0.0,1.0,89,120
0.97,0.7083333333333334,0.0,1.0,85,120
0.98,0.6666666666666666,0.0,1.0,80,120
0.99,0.5666666666666667,0.0,1.0,68,120
1.0,0.0,,,0,120
