noise_environment,snr_db,target_active_snr_db,snr_reference,condition,method,n,top1_acc,macro_f1,top2_acc,ece,brier,nll,frozen_global_threshold,frozen_threshold_coverage,frozen_threshold_selective_risk,frozen_per_class_threshold_coverage,frozen_per_class_threshold_selective_risk,aurc,augrc,risk_at_coverage_0.80,risk_at_coverage_0.90,risk_at_coverage_0.95,cough_precision,cough_recall,cough_f1,cough_support,calm_grunt_precision,calm_grunt_recall,calm_grunt_f1,calm_grunt_support,feeding_precision,feeding_recall,feeding_f1,feeding_support,stress_vocal_precision,stress_vocal_recall,stress_vocal_f1,stress_vocal_support,feeding_to_stress,stress_to_feeding,cough_to_calm_grunt,cough_to_feeding,cough_to_stress_vocal,global_coverage,selective_risk,feeding_coverage,feeding_selective_risk,stress_vocal_coverage,stress_vocal_selective_risk,macro_f1_degradation_vs_clean,hierarchy_consistency,mean_prototype_distance_margin
TBUS,10.0,10.0,active_valid_region,TBUS_10dB,hierarchical,168.0,0.7083333333333334,0.6398183831672204,0.7678571428571429,0.2692145087889262,0.5613328814506531,2.879058837890625,0.7210639715194702,0.9702380952380952,0.2883435582822086,0.9345238095238095,0.2993630573248408,0.2245758796663755,0.2245758796663755,0.2962962962962963,0.29605263157894735,0.29374999999999996,1.0,0.023809523809523808,0.046511627906976744,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.4578313253012048,0.9047619047619048,0.608,42.0,4.0,4.0,0.0,0.0,41.0,0.9702380952380952,0.2883435582822086,0.9523809523809523,0.075,0.9285714285714286,0.07692307692307693,0.31256256921373193,,
TBUS,10.0,10.0,active_valid_region,TBUS_10dB,fused,168.0,0.7083333333333334,0.6398183831672204,0.7738095238095238,0.2798468122879664,0.559738039970398,2.194199800491333,0.8035783767700195,0.9464285714285714,0.2955974842767296,0.9285714285714286,0.3012820512820513,0.19673393980222048,0.19673393980222048,0.2962962962962963,0.29605263157894735,0.29374999999999996,1.0,0.023809523809523808,0.046511627906976744,42.0,1.0,1.0,1.0,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.4578313253012048,0.9047619047619048,0.608,42.0,4.0,4.0,0.0,0.0,41.0,0.9464285714285714,0.2955974842767296,0.9285714285714286,0.07692307692307693,0.8571428571428571,0.08333333333333333,0.31256256921373193,,
TBUS,10.0,,,TBUS_10dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9880952380952381,
TBUS,0.0,0.0,active_valid_region,TBUS_0dB,raw_softmax,168.0,0.7023809523809523,0.6229890664423886,0.7559523809523809,0.26266636025337947,0.5621293187141418,2.172900915145874,0.8309492468833923,0.9047619047619048,0.2763157894736842,0.8511904761904762,0.29370629370629375,0.17090274159817145,0.17090274159817145,0.28148148148148144,0.2763157894736842,0.29374999999999996,0.0,0.0,0.0,42.0,0.9333333333333333,1.0,0.9655172413793104,42.0,0.925,0.8809523809523809,0.9024390243902439,42.0,0.46987951807228917,0.9285714285714286,0.624,42.0,5.0,3.0,3.0,0.0,39.0,0.9047619047619048,0.2763157894736842,0.8333333333333334,0.08571428571428572,0.8809523809523809,0.02702702702702703,0.3293918859385637,,
TBUS,0.0,0.0,active_valid_region,TBUS_0dB,prototype,168.0,0.7023809523809523,0.6166235725059255,0.75,0.24849809635253178,0.5701490640640259,2.9217922687530518,0.738779604434967,0.9345238095238095,0.2866242038216561,0.8452380952380952,0.28873239436619713,0.21077515888257162,0.21077515888257162,0.3037037037037037,0.2894736842105263,0.2875,0.0,0.0,0.0,42.0,0.8571428571428571,1.0,0.9230769230769231,42.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,42.0,0.4935064935064935,0.9047619047619048,0.6386554621848739,42.0,4.0,4.0,7.0,0.0,35.0,0.9345238095238095,0.2866242038216561,0.8809523809523809,0.10810810810810811,0.9285714285714286,0.05128205128205128,0.33575737987502685,,
TBUS,0.0,0.0,active_valid_region,TBUS_0dB,hierarchical,168.0,0.6964285714285714,0.6140921409214092,0.75,0.2548364721948192,0.5711868405342102,2.808063268661499,0.7210639715194702,0.9226190476190477,0.29032258064516125,0.8511904761904762,0.28671328671328666,0.20821286780618256,0.20821286780618256,0.3111111111111111,0.2894736842105263,0.2875,0.0,0.0,0.0,42.0,0.875,1.0,0.9333333333333333,42.0,0.9230769230769231,0.8571428571428571,0.8888888888888888,42.0,0.48148148148148145,0.9285714285714286,0.6341463414634146,42.0,6.0,3.0,6.0,0.0,36.0,0.9226190476190477,0.29032258064516125,0.8333333333333334,0.11428571428571428,0.9285714285714286,0.05128205128205128,0.33828881145954315,,
TBUS,0.0,0.0,active_valid_region,TBUS_0dB,fused,168.0,0.7023809523809523,0.6215041842500536,0.75,0.2498167221035276,0.5626660585403442,2.2336363792419434,0.8035783767700195,0.8988095238095238,0.2781456953642384,0.8571428571428571,0.29166666666666663,0.1840518842874918,0.1840518842874918,0.28888888888888886,0.2763157894736842,0.2875,0.0,0.0,0.0,42.0,0.9130434782608695,1.0,0.9545454545454546,42.0,0.925,0.8809523809523809,0.9024390243902439,42.0,0.47560975609756095,0.9285714285714286,0.6290322580645161,42.0,5.0,3.0,4.0,0.0,38.0,0.8988095238095238,0.2781456953642384,0.8095238095238095,0.08823529411764706,0.8809523809523809,0.02702702702702703,0.3308767681308987,,
TBUS,0.0,,,TBUS_0dB,hierarchy_audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9642857142857143,
STRAFFIC,20.0,20.0,active_valid_region,STRAFFIC_20dB,raw_softmax,168.0,0.6964285714285714,0.6224978654776587,0.75,0.28703599742480684,0.5854084491729736,2.45103120803833,0.8309492468833923,0.9642857142857143,0.2962962962962963,0.9642857142857143,0.308641975308642,0.20689367980005285,0.20689367980005285,0.31851851851851853,0.3026315789473685,0.29374999999999996,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.9024390243902439,0.8809523809523809,0.891566265060241,42.0,0.4470588235294118,0.9047619047619048,0.5984251968503937,42.0,5.0,4.0,0.0,0.0,42.0,0.9642857142857143,0.2962962962962963,0.9523809523809523,0.075,0.9047619047619048,0.07894736842105263,0.3298830869032936,,
STRAFFIC,20.0,20.0,active_valid_region,STRAFFIC_20dB,prototype,168.0,0.6904761904761905,0.6170634920634921,0.75,0.2745304810149329,0.5854995250701904,3.3102221488952637,0.738779604434967,0.9702380952380952,0.3006134969325154,0.9345238095238095,0.3121019108280255,0.2477522291097387,0.2477522291097387,0.3111111111111111,0.3026315789473685,0.30000000000000004,0.0,0.0,0.0,42.0,1.0,1.0,1.0,42.0,0.8809523809523809,0.8809523809523809,0.8809523809523809,42.0,0.44047619047619047,0.8809523809523809,0.5873015873015873,42.0,5.0,5.0,0.0,0.0,42.0,0.9702380952380952,0.3006134969325154,0.9761904761904762,0.0975609756097561,0.9047619047619048,0.07894736842105263,0.33531746031746024,,
