noise_environment,snr_db,condition_family,method,n,mean_aurc,mean_augrc,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95
TBUS,10.0,,hierarchical,25,0.2265514032457818,0.2265514032457818,0.31585185185185183,0.2971052631578947,0.29600000000000004
TBUS,10.0,,prototype,25,0.22436704927367995,0.22436704927367995,0.31377777777777777,0.2955263157894737,0.29774999999999996
TBUS,10.0,,raw_softmax,25,0.1710749554284856,0.17107495542848558,0.3078518518518518,0.29894736842105263,0.29874999999999996
TBUS,20.0,,fused,25,0.14920987574402683,0.14920987574402683,0.2711111111111111,0.26973684210526316,0.2705
TBUS,20.0,,hierarchical,25,0.19538105989866586,0.19538105989866586,0.2811851851851852,0.26710526315789473,0.2695
TBUS,20.0,,prototype,25,0.19137146315467757,0.19137146315467754,0.2785185185185185,0.265,0.26875
TBUS,20.0,,raw_softmax,25,0.1370198986676097,0.1370198986676097,0.26666666666666666,0.2692105263157895,0.27225
clean,clean,,fused,25,0.004591090163106188,0.004591090163106188,0.005925925925925934,0.019736842105263153,0.03074999999999999
clean,clean,,hierarchical,25,0.004566348506947476,0.004566348506947476,0.005037037037037045,0.018157894736842106,0.030499999999999992
clean,clean,,prototype,25,0.0044934346061557,0.0044934346061557,0.005333333333333341,0.016578947368421054,0.030499999999999992
clean,clean,,raw_softmax,25,0.004958135681146772,0.0049581356811467725,0.006814814814814825,0.020526315789473684,0.032499999999999994
ALL_NOISY,GROUP,all_noisy,fused,25,0.18480765802919655,0.18480765802919655,0.30439506172839503,0.30219298245614035,0.3055555555555555
ALL_NOISY,GROUP,all_noisy,hierarchical,25,0.2122118151247194,0.2122118151247194,0.3094650205761317,0.3036257309941521,0.30700000000000005
ALL_NOISY,GROUP,all_noisy,prototype,25,0.21093737203497653,0.21093737203497653,0.305679012345679,0.29973684210526313,0.30361111111111105
ALL_NOISY,GROUP,all_noisy,raw_softmax,25,0.17745835183883635,0.17745835183883635,0.3042962962962963,0.3040350877192982,0.308
MODERATE_NOISE,GROUP,moderate_noise,fused,25,0.17320084333420574,0.17320084333420574,0.2884938271604938,0.28092105263157896,0.282625
MODERATE_NOISE,GROUP,moderate_noise,hierarchical,25,0.20656210297458294,0.20656210297458294,0.29333333333333333,0.2804824561403509,0.282625
