noise_environment,snr_db,method,n,mean_macro_f1,std_macro_f1,mean_top1_acc,mean_top2_acc,mean_ece,mean_brier,mean_nll,mean_aurc,mean_augrc,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_macro_f1_degradation_vs_clean,condition_family
DWASHING,20.0,raw_softmax,25,0.7441139248284585,0.05835499644186362,0.7702380952380953,0.8683333333333333,0.1759669161197685,0.40938440442085267,1.0933678436279297,0.1038266464575107,0.1038266464575107,0.20385185185185187,0.21289473684210528,0.22049999999999997,0.9138095238095236,0.21324363970976098,0.2069357483806863,
STRAFFIC,0.0,fused,25,0.45449235642974534,0.0632130618293125,0.5497619047619048,0.6852380952380953,0.3977403730650743,0.8133982610702515,3.6176806640625,0.2182155985373781,0.2182155985373781,0.3848888888888889,0.4234210526315789,0.43675,0.8964285714285714,0.41431166285650556,0.49899364988768846,
STRAFFIC,0.0,hierarchical,25,0.4467323901229514,0.0665031966487567,0.5466666666666667,0.6995238095238094,0.400868732106118,0.8233857250213623,5.011006388664246,0.2186043177622268,0.2186043177622268,0.392,0.42921052631578943,0.44375,0.8952380952380952,0.42268247121875513,0.5072538241070138,
STRAFFIC,0.0,prototype,25,0.45905042575420146,0.06893404773480873,0.5557142857142857,0.7014285714285713,0.38991443986694024,0.8070089030265808,4.743028545379639,0.21795104496134632,0.21795104496134632,0.3863703703703704,0.4221052631578947,0.43424999999999997,0.8911904761904761,0.4109075383572728,0.49280198740435466,
STRAFFIC,0.0,raw_softmax,25,0.4521837834934413,0.0627145646843749,0.549047619047619,0.6769047619047619,0.37879717494760246,0.7910824346542359,2.579412159919739,0.22478556675761197,0.22478556675761197,0.3893333333333333,0.4255263157894737,0.43800000000000006,0.8928571428571428,0.4121692933862932,0.49886588971570367,
STRAFFIC,10.0,fused,25,0.5951120581224292,0.03066252382575931,0.6642857142857143,0.7509523809523809,0.2985135603376798,0.6219400238990783,3.0793129348754884,0.20998685944623918,0.20998685944623918,0.33037037037037037,0.32368421052631574,0.3285,0.913809523809524,0.3257990277515455,0.3583739481950046,
STRAFFIC,10.0,hierarchical,25,0.5885829825776132,0.026291003310204432,0.6564285714285714,0.7502380952380951,0.29975442271147457,0.6314075851440429,4.922208261489868,0.22165355223986882,0.22165355223986882,0.33422222222222225,0.3315789473684211,0.33525,0.9126190476190476,0.330236807048649,0.3654032316523519,
STRAFFIC,10.0,prototype,25,0.6001475992181531,0.023115350810271683,0.6695238095238095,0.7502380952380951,0.2914400050753639,0.6163040447235107,4.701151390075683,0.22156699104313562,0.22156699104313562,0.3262222222222222,0.323421052631579,0.32299999999999995,0.9164285714285715,0.3210036542418704,0.35170481394040304,
STRAFFIC,10.0,raw_softmax,25,0.5932904778426006,0.03382660732357131,0.6626190476190478,0.7504761904761904,0.2857844224146434,0.6160079264640808,2.1364460945129395,0.20849941627267374,0.20849941627267374,0.3327407407407408,0.3268421052631579,0.33149999999999996,0.9204761904761906,0.33030914183378557,0.35775919536654416,
STRAFFIC,20.0,fused,25,0.6219205057592077,0.012349585458501473,0.6954761904761907,0.7547619047619049,0.27717860131746247,0.5788358759880066,2.8910997438430788,0.20337914769862914,0.20337914769862914,0.31792592592592595,0.30026315789473684,0.29825,0.9280952380952381,0.29850499106919715,0.3315655005582262,
STRAFFIC,20.0,hierarchical,25,0.6228939398319334,0.012621522551409518,0.6957142857142857,0.7528571428571428,0.27890641815605616,0.5809851360321044,4.8430745315551755,0.2302093652845943,0.2302093652845943,0.3191111111111111,0.30026315789473684,0.2995,0.9297619047619048,0.3002335614398483,0.3310922743980318,
STRAFFIC,20.0,prototype,25,0.6231817644109334,0.012708552834813303,0.6966666666666665,0.7516666666666666,0.2723290630465462,0.5774033951759339,4.652335233688355,0.23057851202857158,0.23057851202857158,0.31703703703703706,0.2968421052631579,0.29875,0.93,0.2972144852274454,0.3286706487476227,
STRAFFIC,20.0,raw_softmax,25,0.6188367119883191,0.015332748460861889,0.691904761904762,0.7583333333333334,0.2635044181914557,0.5726648950576783,1.9810972118377685,0.19126812571661625,0.19126812571661625,0.31822222222222224,0.30210526315789477,0.301,0.9295238095238095,0.29964635048210925,0.3322129612208258,
TBUS,0.0,fused,25,0.6039875473351969,0.01858288959577027,0.6745238095238096,0.7583333333333333,0.28225927141450696,0.5990652585029602,2.8529322576522826,0.19202653385516558,0.19202653385516558,0.3122962962962963,0.3089473684210526,0.315,0.9157142857142857,0.31068762835144087,0.34949845898223697,
TBUS,0.0,hierarchical,25,0.6008707790687084,0.018365110670061174,0.6709523809523809,0.7528571428571428,0.28684253353448136,0.6085277414321899,4.799259963035584,0.21590255075968653,0.21590255075968653,0.31851851851851853,0.3171052631578947,0.31975000000000003,0.9188095238095237,0.318135203409124,0.35311543516125665,
TBUS,0.0,prototype,25,0.6062037791406523,0.014594145029809717,0.6773809523809524,0.7519047619047619,0.2822389355585689,0.5994149494171143,4.610502691268921,0.21637008676249356,0.21637008676249356,0.31200000000000006,0.31184210526315786,0.31325,0.9188095238095236,0.311907836581818,0.34564863401790386,
TBUS,0.0,raw_softmax,25,0.6014929514909333,0.02300173854010928,0.6719047619047619,0.7592857142857143,0.26804612404533795,0.5901400208473205,1.9527263593673707,0.18586117254762213,0.18586117254762213,0.3131851851851852,0.3121052631578947,0.3185,0.9188095238095237,0.31342460250401044,0.3495567217182117,
TBUS,10.0,fused,25,0.6260763649553984,0.014806324841544293,0.6992857142857144,0.7635714285714286,0.2761616931642805,0.5710050868988037,2.658987579345703,0.1842993934706205,0.1842993934706205,0.3111111111111111,0.29789473684210527,0.2965,0.9273809523809524,0.29691026272947235,0.3274096413620354,
TBUS,10.0,hierarchical,25,0.6263293447061787,0.013979283229653161,0.6985714285714285,0.7564285714285713,0.2735719355089324,0.5737907552719116,4.651015810966491,0.2265514032457818,0.2265514032457818,0.31585185185185183,0.2971052631578947,0.29600000000000004,0.927142857142857,0.29772351718678214,0.32765686952378653,
TBUS,10.0,prototype,25,0.6257533485924605,0.011250119866440209,0.6985714285714285,0.7559523809523809,0.26944123966353284,0.5715403914451599,4.460960283279419,0.22436704927367995,0.22436704927367995,0.31377777777777777,0.2955263157894737,0.29774999999999996,0.9271428571428573,0.29582937084528566,0.3260990645660958,
