noise_environment,snr_db,condition_family,method,n,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95
TBUS,0.0,,hierarchical,25,0.9188095238095237,0.318135203409124,0.31851851851851853,0.3171052631578948,0.31975
TBUS,0.0,,prototype,25,0.9188095238095237,0.311907836581818,0.312,0.31184210526315786,0.31325
TBUS,0.0,,raw_softmax,25,0.9188095238095237,0.3134246025040104,0.3131851851851852,0.3121052631578947,0.3185
TBUS,10.0,,fused,25,0.9273809523809524,0.29691026272947235,0.3111111111111111,0.29789473684210527,0.29650000000000004
TBUS,10.0,,hierarchical,25,0.9271428571428573,0.29772351718678214,0.31585185185185183,0.2971052631578947,0.29600000000000004
TBUS,10.0,,prototype,25,0.927142857142857,0.29582937084528566,0.3137777777777778,0.2955263157894737,0.29774999999999996
TBUS,10.0,,raw_softmax,25,0.9285714285714285,0.2972931578588245,0.3078518518518518,0.29894736842105263,0.29875
TBUS,20.0,,fused,25,0.9257142857142857,0.26878816085008583,0.2711111111111111,0.2697368421052631,0.2705
TBUS,20.0,,hierarchical,25,0.9307142857142857,0.267750348539372,0.28118518518518515,0.26710526315789473,0.2695
TBUS,20.0,,prototype,25,0.927142857142857,0.2655971325753858,0.2785185185185185,0.26499999999999996,0.26875
TBUS,20.0,,raw_softmax,25,0.9230952380952381,0.26886411383884623,0.26666666666666666,0.2692105263157895,0.27225
clean,clean,,fused,25,0.9333333333333332,0.025461761411812747,0.005925925925925926,0.019736842105263157,0.030749999999999996
clean,clean,,hierarchical,25,0.9357142857142857,0.024128278828177967,0.005037037037037038,0.018157894736842106,0.030500000000000003
clean,clean,,prototype,25,0.9314285714285714,0.022986725215033876,0.005333333333333333,0.016578947368421054,0.0305
clean,clean,,raw_softmax,25,0.9349999999999998,0.02723583030984243,0.006814814814814816,0.02052631578947368,0.0325
ALL_NOISY,GROUP,all_noisy,fused,25,0.9194179894179895,0.3011425828194792,0.30439506172839503,0.30219298245614035,0.3055555555555555
ALL_NOISY,GROUP,all_noisy,hierarchical,25,0.9218518518518518,0.30329930312684394,0.3094650205761317,0.3036257309941521,0.30700000000000005
ALL_NOISY,GROUP,all_noisy,prototype,25,0.9211904761904761,0.29876455409815994,0.305679012345679,0.29973684210526313,0.3036111111111111
ALL_NOISY,GROUP,all_noisy,raw_softmax,25,0.92,0.30238601597291104,0.3042962962962963,0.3040350877192982,0.308
MODERATE_NOISE,GROUP,moderate_noise,fused,25,0.9228174603174604,0.2806882569043061,0.2884938271604938,0.28092105263157896,0.282625
MODERATE_NOISE,GROUP,moderate_noise,hierarchical,25,0.9257936507936507,0.2807842056522798,0.29333333333333333,0.28048245614035083,0.282625
MODERATE_NOISE,GROUP,moderate_noise,prototype,25,0.9254761904761907,0.2776333769476242,0.2902222222222222,0.27763157894736845,0.28045833333333337
MODERATE_NOISE,GROUP,moderate_noise,raw_softmax,25,0.9237698412698414,0.282144624520588,0.2872098765432099,0.28258771929824555,0.28524999999999995
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,fused,25,0.9126190476190478,0.3420512346498254,0.3361975308641975,0.3447368421052632,0.35141666666666665
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,hierarchical,25,0.9139682539682541,0.3483294980759722,0.3417283950617284,0.3499122807017544,0.35575
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,prototype,25,0.9126190476190476,0.3410269083992313,0.33659259259259255,0.3439473684210526,0.34991666666666665
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,raw_softmax,25,0.9124603174603173,0.342868798877557,0.3384691358024691,0.3469298245614036,0.3534999999999999
