noise_environment,target_active_snr_db,snr_reference,y_true,n,active_snr_mean,active_snr_std,active_snr_min,active_snr_max,full_window_snr_mean,full_window_snr_std,full_window_snr_min,full_window_snr_max,valid_duration_ratio_mean,valid_duration_ratio_std
STRAFFIC,20.0,active_valid_region,feeding,42,20.000000017904796,2.3621684439672794e-07,19.99999955453281,20.000000397712647,19.999025247489392,0.003185439781448788,19.98541754939934,20.00000039551132,0.9997548363095238,0.0007949521583473086
STRAFFIC,20.0,active_valid_region,stress_vocal,42,19.999999990522717,1.944523291725006e-07,19.99999953447551,20.000000380592233,19.999866818443287,0.0003424890923174803,19.99814504960395,20.000000380592233,0.9999665178571429,6.880986069920326e-05
TBUS,0.0,active_valid_region,calm_grunt,42,7.085451482451261e-10,2.4054611992949073e-07,-4.169439758354754e-07,4.15129618138791e-07,7.085451482451261e-10,2.4054611992949073e-07,-4.169439758354754e-07,4.15129618138791e-07,1.0,0.0
TBUS,0.0,active_valid_region,cough,42,4.3224749634098844e-08,2.3584481039355332e-07,-5.120876300509765e-07,4.117255172713708e-07,-7.11510097828694,2.1908513219224823,-11.648857498599664,-3.2368195534438877,0.2251116071428571,0.05747741041343353
TBUS,0.0,active_valid_region,feeding,42,-1.2966865027916136e-08,2.076931237113009e-07,-4.4273414084976656e-07,3.463229605483987e-07,-0.0011457727086741395,0.004395746148877129,-0.025941979389404075,3.3826996826858855e-07,0.9997548363095238,0.0007949521583473086
TBUS,0.0,active_valid_region,stress_vocal,42,-4.327662920393351e-08,2.233909184862219e-07,-3.952458546481415e-07,4.121635128572516e-07,-7.927147154432218e-05,0.00020069630162915068,-0.0009123315781913697,4.121635128572516e-07,0.9999665178571429,6.880986069920326e-05
TBUS,10.0,active_valid_region,calm_grunt,42,10.000000015577989,2.2013580773774052e-07,9.999999537415222,10.000000404419778,10.000000015577989,2.2013580773774052e-07,9.999999537415222,10.000000404419778,1.0,0.0
TBUS,10.0,active_valid_region,cough,42,9.99999993461805,2.187302886003742e-07,9.999999656782439,10.000000416936675,2.8848989137546983,2.1908513149369444,-1.6488578404033607,6.763180333130666,0.2251116071428571,0.05747741041343353
TBUS,10.0,active_valid_region,feeding,42,10.0000000374938,2.455406326515179e-07,9.999999580481244,10.000000470290814,9.998854277754244,0.004395738461013447,9.974058147414112,10.000000470290814,0.9997548363095238,0.0007949521583473086
TBUS,10.0,active_valid_region,stress_vocal,42,9.999999991216523,2.0587054261529525e-07,9.999999584150832,10.00000038939219,9.999920763024036,0.00020073989554668403,9.999087325747386,10.00000036047413,0.9999665178571429,6.880986069920326e-05
TBUS,20.0,active_valid_region,calm_grunt,42,19.999999995911693,2.134897180606513e-07,19.999999499112487,20.00000035175381,19.999999995911693,2.134897180606513e-07,19.999999499112487,20.00000035175381,1.0,0.0
TBUS,20.0,active_valid_region,cough,42,19.999999975192857,1.9013114491800437e-07,19.999999601485317,20.000000346549434,12.884898954503061,2.190851355053136,8.351142208692867,16.7631801414972,0.2251116071428571,0.05747741041343353
TBUS,20.0,active_valid_region,feeding,42,19.999999988996848,2.184499625044264e-07,19.99999958688262,20.00000035959348,19.998854229256256,0.004395748002195217,19.974058136726804,20.00000035959348,0.9997548363095238,0.0007949521583473086
TBUS,20.0,active_valid_region,stress_vocal,42,20.000000032785156,2.576375420204494e-07,19.999999583897154,20.00000045251425,19.999920804591703,0.00020070076113868168,19.999087993157872,20.00000045251425,0.9999665178571429,6.880986069920326e-05
