noise_environment,snr_db,method,labels,confusion_matrix,cough_precision,cough_recall,cough_f1,calm_grunt_precision,calm_grunt_recall,calm_grunt_f1,feeding_precision,feeding_recall,feeding_f1,stress_vocal_precision,stress_vocal_recall,stress_vocal_f1,macro_f1_from_cm,feeding_to_stress,stress_to_feeding
TBUS,0.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 1, 0, 41], [0, 42, 0, 0], [0, 0, 22, 20], [0, 0, 0, 42]]",0.0,0.0,0.0,0.9767441860465116,1.0,0.988235294117647,1.0,0.5238095238095238,0.6875000000000001,0.4077669902912621,1.0,0.5793103448275861,0.5637614097363083,20,0
TBUS,0.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 1, 0, 41], [0, 42, 0, 0], [0, 0, 23, 19], [0, 1, 0, 41]]",0.0,0.0,0.0,0.9545454545454546,1.0,0.9767441860465117,1.0,0.5476190476190477,0.7076923076923077,0.40594059405940597,0.9761904761904762,0.5734265734265734,0.5644657667913482,19,0
TBUS,0.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 1, 0, 41], [0, 42, 0, 0], [0, 0, 25, 17], [0, 1, 0, 41]]",0.0,0.0,0.0,0.9545454545454546,1.0,0.9767441860465117,1.0,0.5952380952380952,0.7462686567164178,0.41414141414141414,0.9761904761904762,0.5815602836879433,0.5761432816127182,17,0
TBUS,0.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 1, 0, 41], [0, 42, 0, 0], [0, 0, 22, 20], [0, 0, 0, 42]]",0.0,0.0,0.0,0.9767441860465116,1.0,0.988235294117647,1.0,0.5238095238095238,0.6875000000000001,0.4077669902912621,1.0,0.5793103448275861,0.5637614097363083,20,0
TBUS,10.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 31, 11], [0, 0, 3, 39]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9117647058823529,0.7380952380952381,0.8157894736842106,0.42391304347826086,0.9285714285714286,0.582089552238806,0.5994697564807542,11,3
TBUS,10.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 31, 11], [0, 0, 2, 40]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9393939393939394,0.7380952380952381,0.8266666666666667,0.43010752688172044,0.9523809523809523,0.5925925925925926,0.6048148148148148,11,2
TBUS,10.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 32, 10], [0, 0, 3, 39]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9142857142857143,0.7619047619047619,0.8311688311688312,0.42857142857142855,0.9285714285714286,0.5864661654135338,0.6044087491455913,10,3
TBUS,10.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 31, 11], [0, 0, 3, 39]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9117647058823529,0.7380952380952381,0.8157894736842106,0.42391304347826086,0.9285714285714286,0.582089552238806,0.5994697564807542,11,3
TBUS,20.0,fused,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 34, 8], [0, 0, 3, 39]]",0.0,0.0,0.0,1.0,1.0,1.0,0.918918918918919,0.8095238095238095,0.860759493670886,0.43820224719101125,0.9285714285714286,0.5954198473282443,0.6140448352497826,8,3
TBUS,20.0,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 34, 8], [0, 0, 2, 40]]",0.0,0.0,0.0,1.0,1.0,1.0,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.4444444444444444,0.9523809523809523,0.6060606060606061,0.6194638694638694,8,2
TBUS,20.0,prototype,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 34, 8], [0, 0, 3, 39]]",0.0,0.0,0.0,1.0,1.0,1.0,0.918918918918919,0.8095238095238095,0.860759493670886,0.43820224719101125,0.9285714285714286,0.5954198473282443,0.6140448352497826,8,3
TBUS,20.0,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[0, 0, 0, 42], [0, 42, 0, 0], [0, 0, 34, 8], [0, 0, 3, 39]]",0.0,0.0,0.0,1.0,1.0,1.0,0.918918918918919,0.8095238095238095,0.860759493670886,0.43820224719101125,0.9285714285714286,0.5954198473282443,0.6140448352497826,8,3
clean,clean,fused,cough|calm_grunt|feeding|stress_vocal,"[[42, 0, 0, 0], [0, 42, 0, 0], [0, 0, 36, 6], [0, 0, 3, 39]]",1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8666666666666667,0.9285714285714286,0.896551724137931,0.946360153256705,6,3
clean,clean,hierarchical,cough|calm_grunt|feeding|stress_vocal,"[[42, 0, 0, 0], [0, 42, 0, 0], [0, 0, 36, 6], [0, 0, 2, 40]]",1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,0.8571428571428571,0.9,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9522727272727272,6,2
clean,clean,prototype,cough|calm_grunt|feeding|stress_vocal,"[[42, 0, 0, 0], [0, 42, 0, 0], [0, 0, 36, 6], [0, 0, 3, 39]]",1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8666666666666667,0.9285714285714286,0.896551724137931,0.946360153256705,6,3
clean,clean,raw_softmax,cough|calm_grunt|feeding|stress_vocal,"[[42, 0, 0, 0], [0, 42, 0, 0], [0, 0, 36, 6], [0, 0, 3, 39]]",1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8666666666666667,0.9285714285714286,0.896551724137931,0.946360153256705,6,3
