noise_environment,snr_db,method,n,mean_macro_f1,std_macro_f1,mean_top1_acc,mean_top2_acc,mean_ece,mean_brier,mean_nll,mean_aurc,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_macro_f1_degradation_vs_clean
STRAFFIC,0.0,fused,1,0.37721259278614905,0.0,0.5059523809523809,0.5654761904761905,0.4399779181750048,0.8983745574951172,2.6643693447113037,0.2143208936380096,0.8630952380952381,0.42068965517241375,0.5691475604705559
STRAFFIC,0.0,hierarchical,1,0.3550941525353703,0.0,0.5,0.5952380952380952,0.4193656419714292,0.8727758526802063,2.8127174377441406,0.1908944728022199,0.8035714285714286,0.3925925925925926,0.597178574737357
STRAFFIC,0.0,prototype,1,0.36320159138555363,0.0,0.5059523809523809,0.5952380952380952,0.40557086645137697,0.8585090637207031,2.763136386871338,0.1934323097476664,0.7916666666666666,0.3834586466165414,0.5831585618711513
STRAFFIC,0.0,raw_softmax,1,0.37721259278614905,0.0,0.5059523809523809,0.5654761904761905,0.439977921190716,0.8983744382858276,2.6643693447113037,0.2143208936380096,0.8630952380952381,0.42068965517241375,0.5691475604705559
STRAFFIC,10.0,fused,1,0.5331406442922887,0.0,0.6011904761904762,0.7738095238095238,0.36349281455789295,0.7460803985595703,2.1927871704101562,0.22254330061162828,0.9226190476190477,0.4,0.4132195089644163
STRAFFIC,10.0,hierarchical,1,0.54,0.0,0.6071428571428571,0.75,0.35867308612380705,0.7347245216369629,2.7095062732696533,0.2073114698550261,0.9226190476190477,0.3935483870967742,0.41227272727272724
STRAFFIC,10.0,prototype,1,0.553182214472537,0.0,0.6190476190476191,0.75,0.3529370629361698,0.7083043456077576,2.7143118381500244,0.21248264940126915,0.9107142857142857,0.37254901960784315,0.39317793878416796
STRAFFIC,10.0,raw_softmax,1,0.5331406442922887,0.0,0.6011904761904762,0.7738095238095238,0.3634928131387347,0.7460803985595703,2.1927871704101562,0.22254330061162828,0.9226190476190477,0.4,0.4132195089644163
STRAFFIC,20.0,fused,1,0.5946155384461553,0.0,0.6607142857142857,0.7797619047619048,0.2904315328314191,0.6248674392700195,2.077692747116089,0.22309664581480215,0.875,0.326530612244898,0.35174461481054964
STRAFFIC,20.0,hierarchical,1,0.59993961352657,0.0,0.6666666666666666,0.7559523809523809,0.2879769372798147,0.6134275794029236,2.7985782623291016,0.2323056157861738,0.8630952380952381,0.3310344827586207,0.3523331137461573
STRAFFIC,20.0,prototype,1,0.6048148148148148,0.0,0.6726190476190477,0.7559523809523809,0.2882020076115926,0.6056207418441772,2.8852734565734863,0.24189761417441877,0.8928571428571429,0.32666666666666666,0.34154533844189017
STRAFFIC,20.0,raw_softmax,1,0.5946155384461553,0.0,0.6607142857142857,0.7797619047619048,0.2904315328314191,0.6248674392700195,2.077692747116089,0.22309664581480215,0.875,0.326530612244898,0.35174461481054964
TBUS,0.0,fused,1,0.5637614097363084,0.0,0.6309523809523809,0.8392857142857143,0.332607951015234,0.675781786441803,1.9508930444717407,0.22050410767838058,0.8988095238095238,0.3443708609271523,0.3825987435203966
TBUS,0.0,hierarchical,1,0.5644657667913482,0.0,0.6309523809523809,0.75,0.3239175907912708,0.6697251200675964,2.5776472091674805,0.22456061077556497,0.9047619047619048,0.3421052631578947,0.3878069604813791
TBUS,0.0,prototype,1,0.5761432816127181,0.0,0.6428571428571429,0.75,0.3100843124446414,0.6539176106452942,2.6151323318481445,0.23327443362217742,0.8988095238095238,0.3377483443708609,0.37021687164398687
TBUS,0.0,raw_softmax,1,0.5637614097363084,0.0,0.6309523809523809,0.8392857142857143,0.3326079531439713,0.675781786441803,1.9508930444717407,0.22050410767838058,0.8988095238095238,0.3443708609271523,0.3825987435203966
TBUS,10.0,fused,1,0.5994697564807542,0.0,0.6666666666666666,0.7976190476190477,0.2870241290047055,0.6109923124313354,1.9119477272033691,0.1889874219354564,0.8869047619047619,0.3221476510067114,0.3468903967759508
TBUS,10.0,hierarchical,1,0.6048148148148148,0.0,0.6726190476190477,0.7559523809523809,0.30180782008738744,0.6047019362449646,2.7130959033966064,0.2293382063343148,0.8809523809523809,0.32432432432432434,0.34745791245791247
TBUS,10.0,prototype,1,0.6044087491455913,0.0,0.6726190476190477,0.7559523809523809,0.28382501360915957,0.5993102788925171,2.7645106315612793,0.23698258132750682,0.8988095238095238,0.3178807947019867,0.3419514041111137
TBUS,10.0,raw_softmax,1,0.5994697564807542,0.0,0.6666666666666666,0.7976190476190477,0.2870242326032547,0.6109923124313354,1.9119477272033691,0.1889874219354564,0.8869047619047619,0.3221476510067114,0.3468903967759508
TBUS,20.0,fused,1,0.6140448352497826,0.0,0.6845238095238095,0.7738095238095238,0.27250687352248604,0.5804862380027771,1.7336138486862183,0.13863911605545787,0.8690476190476191,0.3013698630136986,0.3323153180069224
