start_s,prob_cough
16.8,0.8725021481513977
16.9,0.8724422454833984
17.0,0.8724757432937622
17.1,0.8723388910293579
17.2,0.8720245957374573
17.3,0.8720307350158691
17.4,0.8723424077033997
17.5,0.8723012804985046
17.6,0.8718515038490295
17.7,0.8719722032546997
17.8,0.8719874024391174
17.9,0.8719544410705566
18.0,0.8721151351928711
18.1,0.8723654747009277
18.2,0.8722286224365234
18.3,0.8721187114715576
18.4,0.8716527223587036
18.5,0.871610701084137
18.6,0.87200528383255
18.7,0.8718913793563843
18.8,0.8717570900917053
18.9,0.8718799352645874
19.0,0.8721264004707336
19.1,0.8721712827682495
19.2,0.8730620741844177
19.3,0.8730034232139587
19.4,0.8724554181098938
19.5,0.8720811009407043
19.6,0.8718745112419128
19.7,0.8718672394752502
19.8,0.8719062209129333
19.9,0.8719058632850647
20.0,0.8716748356819153
20.1,0.871478796005249
20.2,0.8714343309402466
20.3,0.8718336224555969
20.4,0.8720190525054932
20.5,0.8720065355300903
20.6,0.872161328792572
20.7,0.8723771572113037
20.8,0.8723245859146118
20.9,0.8723317384719849
21.0,0.8728154301643372
21.1,0.8730878233909607
21.2,0.8733727335929871
21.3,0.8733149766921997
21.4,0.8732808828353882
21.5,0.8733460307121277
21.6,0.8734756112098694
21.7,0.8736426830291748
21.8,0.8727327585220337
21.9,0.8725603818893433
22.0,0.8727184534072876
22.1,0.8724372386932373
22.2,0.8723541498184204
22.3,0.8724132776260376
22.4,0.872321367263794
22.5,0.8723284006118774
22.6,0.8723711967468262
22.7,0.872797966003418
22.8,0.8729076981544495
22.9,0.8727936148643494
23.0,0.8725617527961731
23.1,0.8727672100067139
23.2,0.8729336857795715
23.3,0.8724645376205444
23.4,0.8722115755081177
23.5,0.8725589513778687
23.6,0.8727073669433594
23.7,0.8727017045021057
23.8,0.8727253079414368
23.9,0.8728411793708801
24.0,0.8733606338500977
24.1,0.8728099465370178
24.2,0.8730014562606812
24.3,0.8726436495780945
24.4,0.8729889988899231
24.5,0.8731094002723694
24.6,0.8730075359344482
24.7,0.8728265166282654
24.8,0.8731890320777893
24.9,0.8731247186660767
25.0,0.8729148507118225
25.1,0.87293940782547
25.2,0.8726893663406372
25.3,0.8723536729812622
25.4,0.8725456595420837
25.5,0.8726211786270142
25.6,0.8725110292434692
25.7,0.8722969889640808
25.8,0.8724786043167114
25.9,0.8724283576011658
26.0,0.8726574182510376
26.1,0.8730894923210144
26.2,0.8729403018951416
26.3,0.8731939792633057
26.4,0.873029887676239
26.5,0.873314380645752
26.6,0.8732777237892151
26.7,0.8731753826141357
26.8,0.8727177381515503
26.9,0.8723635077476501
27.0,0.8725014925003052
27.1,0.872454047203064
27.2,0.8722766637802124
27.3,0.8724274635314941
27.4,0.8720452785491943
27.5,0.8724948763847351
27.6,0.8726540803909302
27.7,0.8728094100952148
27.8,0.8728470802307129
27.9,0.8730210661888123
28.0,0.8728546500205994
28.1,0.8728734254837036
28.2,0.8727401494979858
28.3,0.8727318644523621
28.4,0.8726409077644348
28.5,0.8726300001144409
28.6,0.8723465204238892
28.7,0.8726810216903687
28.8,0.8723407983779907
28.9,0.8722147345542908
29.0,0.8721369504928589
29.1,0.8722992539405823
29.2,0.8725700974464417
29.3,0.8724446892738342
29.4,0.872384786605835
29.5,0.8717752695083618
29.6,0.8717129826545715
29.7,0.8718675374984741
29.8,0.8724881410598755
29.9,0.8724952936172485
30.0,0.871873140335083
30.1,0.8719843626022339
30.2,0.8717537522315979
30.3,0.8723157644271851
30.4,0.8730520606040955
30.5,0.8731874823570251
30.6,0.8722890019416809
30.7,0.8722161054611206
30.8,0.8720788955688477
30.9,0.8720451593399048
31.0,0.872259795665741
31.1,0.8722297549247742
31.2,0.8722943663597107
31.3,0.8723737597465515
31.4,0.8726549744606018
31.5,0.8728104829788208
31.6,0.8728198409080505
31.7,0.8729887008666992
31.8,0.8727908134460449
31.9,0.8727042078971863
32.0,0.8723540306091309
32.1,0.8720303177833557
32.2,0.8725435137748718
32.3,0.8726336359977722
32.4,0.8729376792907715
32.5,0.8730317950248718
32.6,0.873083233833313
32.7,0.8731298446655273
32.8,0.8729937076568604
32.9,0.8727224469184875
33.0,0.8728312849998474
33.1,0.8729472756385803
33.2,0.8725335001945496
33.3,0.8723633289337158
33.4,0.871408224105835
33.5,0.8722062706947327
33.6,0.8729916214942932
33.7,0.8731271028518677
33.8,0.8733436465263367
33.9,0.8733782768249512
34.0,0.8732541799545288
34.1,0.8730255365371704
34.2,0.8727460503578186
34.3,0.872767448425293
34.4,0.8724527359008789
34.5,0.8721907138824463
34.6,0.8720592260360718
34.7,0.8721370100975037
34.8,0.8718361854553223
34.9,0.8715282082557678
35.0,0.872208297252655
35.1,0.8724497556686401
35.2,0.8727114200592041
35.3,0.8723414540290833
35.4,0.8722754716873169
35.5,0.8721964359283447
35.6,0.8725200295448303
35.7,0.8722806572914124
35.8,0.8722215294837952
35.9,0.8723638653755188
36.0,0.8723536133766174
36.1,0.872725784778595
36.2,0.8724638223648071
36.3,0.8726216554641724
36.4,0.8725869655609131
36.5,0.8724358081817627
36.6,0.8726717829704285
36.7,0.8728660941123962
36.8,0.8727821707725525
36.9,0.8726131319999695
37.0,0.8729360103607178
37.1,0.872776210308075
37.2,0.8723708391189575
37.3,0.8721750974655151
37.4,0.872071385383606
37.5,0.8719658851623535
37.6,0.8719912171363831
37.7,0.8722451329231262
37.8,0.8723416328430176
37.9,0.8723520636558533
38.0,0.8722445368766785
38.1,0.8725065588951111
38.2,0.8732791543006897
38.3,0.8732584714889526
38.4,0.8727955222129822
38.5,0.8725935220718384
38.6,0.8725964426994324
38.7,0.8725532293319702
38.8,0.872664213180542
38.9,0.8725234270095825
39.0,0.8722090125083923
39.1,0.8718574047088623
39.2,0.8722197413444519
39.3,0.8719406723976135
39.4,0.872541606426239
39.5,0.8725745677947998
39.6,0.8727255463600159
39.7,0.8726664185523987
39.8,0.8730522990226746
39.9,0.8729458451271057
40.0,0.8730003237724304
40.1,0.8730356097221375
40.2,0.8728955388069153
40.3,0.8727900981903076
40.4,0.8728432059288025
40.5,0.8726927638053894
40.6,0.8720691800117493
40.7,0.8721484541893005
40.8,0.8720998167991638
40.9,0.8723976612091064
41.0,0.8721188902854919
41.1,0.872418999671936
41.2,0.872209906578064
41.3,0.8726865649223328
41.4,0.8723750114440918
41.5,0.8725332617759705
41.6,0.872462809085846
41.7,0.8724939823150635
41.8,0.872525155544281
41.9,0.8729870915412903
42.0,0.8733251094818115
42.1,0.8727462887763977
42.2,0.8724087476730347
42.3,0.8721064329147339
42.4,0.8718606233596802
42.5,0.8720657229423523
42.6,0.8719215989112854
42.7,0.8719677329063416
42.8,0.8722391128540039
42.9,0.8724962472915649
43.0,0.8721777200698853
43.1,0.8724037408828735
43.2,0.8726084232330322
43.3,0.8722333312034607
43.4,0.872732937335968
43.5,0.8726074695587158
43.6,0.8728088736534119
43.7,0.8727230429649353
43.8,0.872596800327301
43.9,0.8723165988922119
44.0,0.8718778491020203
44.1,0.8721070885658264
44.2,0.8718660473823547
44.3,0.8716655969619751
44.4,0.8717583417892456
44.5,0.8720366358757019
44.6,0.8717862367630005
44.7,0.8721608519554138
44.8,0.8722778558731079
44.9,0.8726611733436584
45.0,0.8730601668357849
45.1,0.872780978679657
45.2,0.8728408217430115
45.3,0.8725957870483398
45.4,0.872779369354248
45.5,0.8728103041648865
45.6,0.8728461265563965
45.7,0.8727366924285889
45.8,0.8730933666229248
45.9,0.8728966116905212
46.0,0.8729555010795593
46.1,0.8727146983146667
46.2,0.872696578502655
46.3,0.8726350665092468
46.4,0.8724393248558044
46.5,0.8724802732467651
46.6,0.8727890849113464
46.7,0.8724964261054993
46.8,0.8727472424507141
46.9,0.8727304339408875
47.0,0.8725748062133789
47.1,0.8726619482040405
47.2,0.8724933862686157
47.3,0.8727527856826782
47.4,0.8726999163627625
47.5,0.8727531433105469
47.6,0.8727303147315979
47.7,0.8722281455993652
47.8,0.8724905252456665
47.9,0.8723229169845581
48.0,0.8722580671310425
48.1,0.8723245859146118
48.2,0.8726207613945007
48.3,0.8731189966201782
48.4,0.8730849623680115
48.5,0.8734114766120911
48.6,0.8729327917098999
48.7,0.8728278279304504
48.8,0.8728501200675964
48.9,0.8728371858596802
49.0,0.8726000785827637
49.1,0.8725181818008423
49.2,0.8727333545684814
49.3,0.87254399061203
49.4,0.8726678490638733
49.5,0.8723823428153992
49.6,0.8722660541534424
49.7,0.8725136518478394
49.8,0.87290358543396
49.9,0.8729180693626404
50.0,0.8725667595863342
50.1,0.872454822063446
50.2,0.8721640110015869
50.3,0.872309684753418
50.4,0.8722181916236877
50.5,0.872056245803833
50.6,0.8721747994422913
50.7,0.8724544644355774
50.8,0.8725202679634094
50.9,0.872306764125824
51.0,0.8726286292076111
51.1,0.8721837401390076
51.2,0.8728559017181396
51.3,0.872946560382843
51.4,0.8731476664543152
51.5,0.8725654482841492
51.6,0.8728064298629761
51.7,0.8728692531585693
51.8,0.8726919293403625
51.9,0.8725361824035645
52.0,0.8726633191108704
52.1,0.8727351427078247
52.2,0.8726342916488647
52.3,0.8730368614196777
52.4,0.872869610786438
52.5,0.8730396032333374
52.6,0.8729716539382935
52.7,0.8728064894676208
