noise_environment,snr_db,condition_family,method,class,precision,recall,f1
STRAFFIC,20.0,,prototype,calm_grunt,1.0,1.0,1.0
STRAFFIC,20.0,,prototype,feeding,0.9180161943319838,0.8638095238095238,0.8900883218842002
STRAFFIC,20.0,,prototype,stress_vocal,0.4481961147086031,0.9228571428571428,0.6033623910336239
STRAFFIC,20.0,,raw_softmax,cough,0.0,0.0,0.0
STRAFFIC,20.0,,raw_softmax,calm_grunt,1.0,1.0,1.0
STRAFFIC,20.0,,raw_softmax,feeding,0.9137577002053388,0.8476190476190476,0.8794466403162056
STRAFFIC,20.0,,raw_softmax,stress_vocal,0.4439338235294117,0.92,0.5988840669559826
TBUS,0.0,,fused,cough,0.0,0.0,0.0
TBUS,0.0,,fused,calm_grunt,0.9849906191369606,1.0,0.9924385633270322
TBUS,0.0,,fused,feeding,0.9337278106508876,0.7514285714285714,0.8327176781002639
TBUS,0.0,,fused,stress_vocal,0.4342507645259938,0.9466666666666668,0.5953878406708596
TBUS,0.0,,hierarchical,cough,0.0,0.0,0.0
TBUS,0.0,,hierarchical,calm_grunt,0.9776536312849162,1.0,0.9887005649717514
TBUS,0.0,,hierarchical,feeding,0.9443757725587144,0.7276190476190476,0.8219472834857451
TBUS,0.0,,hierarchical,stress_vocal,0.4333189469141131,0.956190476190476,0.5963765963765963
TBUS,0.0,,prototype,cough,0.0,0.0,0.0
TBUS,0.0,,prototype,calm_grunt,0.9749303621169916,1.0,0.987306064880113
TBUS,0.0,,prototype,feeding,0.9347319347319348,0.7638095238095238,0.8406708595387841
TBUS,0.0,,prototype,stress_vocal,0.4384105960264901,0.9457142857142856,0.5990950226244344
TBUS,0.0,,raw_softmax,cough,0.0,0.0,0.0
TBUS,0.0,,raw_softmax,calm_grunt,0.9859022556390976,0.9990476190476192,0.9924314096499528
TBUS,0.0,,raw_softmax,feeding,0.9350180505415162,0.74,0.8261562998405104
TBUS,0.0,,raw_softmax,stress_vocal,0.4321041214750542,0.9485714285714286,0.5937406855439642
TBUS,10.0,,fused,cough,1.0,0.0038095238095238,0.0075901328273244
TBUS,10.0,,fused,calm_grunt,1.0,1.0,1.0
TBUS,10.0,,fused,feeding,0.913604766633565,0.8761904761904762,0.8945065629557609
TBUS,10.0,,fused,stress_vocal,0.4502103786816269,0.9171428571428571,0.6039510818438383
TBUS,10.0,,hierarchical,cough,1.0,0.0038095238095238,0.0075901328273244
TBUS,10.0,,hierarchical,calm_grunt,1.0,1.0,1.0
TBUS,10.0,,hierarchical,feeding,0.9278350515463918,0.8571428571428571,0.8910891089108911
TBUS,10.0,,hierarchical,stress_vocal,0.4503676470588235,0.9333333333333332,0.6075635461872287
TBUS,10.0,,prototype,cough,1.0,0.0038095238095238,0.0075901328273244
TBUS,10.0,,prototype,calm_grunt,1.0,1.0,1.0
TBUS,10.0,,prototype,feeding,0.9133466135458168,0.8733333333333333,0.8928919182083738
TBUS,10.0,,prototype,stress_vocal,0.4495798319327731,0.9171428571428571,0.6033834586466166
TBUS,10.0,,raw_softmax,cough,1.0,0.0038095238095238,0.0075901328273244
TBUS,10.0,,raw_softmax,calm_grunt,1.0,1.0,1.0
TBUS,10.0,,raw_softmax,feeding,0.912087912087912,0.8695238095238095,0.8902974158946855
TBUS,10.0,,raw_softmax,stress_vocal,0.4484848484848485,0.9161904761904762,0.6021909233176839
TBUS,20.0,,fused,cough,1.0,0.0847619047619047,0.1562774363476733
TBUS,20.0,,fused,calm_grunt,1.0,1.0,1.0
TBUS,20.0,,fused,feeding,0.9077809798270894,0.9,0.9038737446197992
TBUS,20.0,,fused,stress_vocal,0.4722772277227722,0.9085714285714286,0.6214983713355049
TBUS,20.0,,hierarchical,cough,1.0,0.0904761904761904,0.1659388646288209
TBUS,20.0,,hierarchical,calm_grunt,1.0,1.0,1.0
TBUS,20.0,,hierarchical,feeding,0.9253731343283582,0.8857142857142857,0.9051094890510948
TBUS,20.0,,hierarchical,stress_vocal,0.4756097560975609,0.9285714285714286,0.6290322580645161
TBUS,20.0,,prototype,cough,1.0,0.0923809523809523,0.1691368788142981
TBUS,20.0,,prototype,calm_grunt,1.0,1.0,1.0
TBUS,20.0,,prototype,feeding,0.9090029041626332,0.8942857142857142,0.9015842534805568
TBUS,20.0,,prototype,stress_vocal,0.4732673267326732,0.9104761904761904,0.6228013029315961
TBUS,20.0,,raw_softmax,cough,1.0,0.0847619047619047,0.1562774363476733
TBUS,20.0,,raw_softmax,calm_grunt,1.0,1.0,1.0
TBUS,20.0,,raw_softmax,feeding,0.9052224371373307,0.8914285714285715,0.8982725527831094
TBUS,20.0,,raw_softmax,stress_vocal,0.4696595954612728,0.9066666666666666,0.6187845303867403
clean,clean,,fused,cough,1.0,1.0,1.0
clean,clean,,fused,calm_grunt,1.0,1.0,1.0
clean,clean,,fused,feeding,0.909875359539789,0.9038095238095238,0.906832298136646
clean,clean,,fused,stress_vocal,0.9044465468306528,0.9104761904761904,0.9074513526340768
clean,clean,,hierarchical,cough,1.0,1.0,1.0
clean,clean,,hierarchical,calm_grunt,1.0,1.0,1.0
clean,clean,,hierarchical,feeding,0.9246778989098116,0.8885714285714286,0.9062651772705196
clean,clean,,hierarchical,stress_vocal,0.8927589367552704,0.9276190476190476,0.9098552078468006
clean,clean,,prototype,cough,1.0,1.0,1.0
clean,clean,,prototype,calm_grunt,1.0,1.0,1.0
clean,clean,,prototype,feeding,0.9116504854368932,0.8942857142857142,0.9028846153846154
clean,clean,,prototype,stress_vocal,0.8962616822429906,0.9133333333333332,0.9047169811320754
clean,clean,,raw_softmax,cough,1.0,1.0,1.0
clean,clean,,raw_softmax,calm_grunt,1.0,1.0,1.0
clean,clean,,raw_softmax,feeding,0.9082125603864736,0.8952380952380953,0.9016786570743408
clean,clean,,raw_softmax,stress_vocal,0.8967136150234741,0.9095238095238096,0.9030732860520094
ALL_NOISY,GROUP,all_noisy,fused,cough,0.995475113122172,0.0465608465608465,0.0889607763849575
ALL_NOISY,GROUP,all_noisy,fused,calm_grunt,0.9752270850536746,0.9997883597883598,0.9873550005225208
ALL_NOISY,GROUP,all_noisy,fused,feeding,0.9220515424654055,0.7685714285714286,0.838344779823397
ALL_NOISY,GROUP,all_noisy,fused,stress_vocal,0.4453089476077401,0.9326984126984128,0.6028109291112403
ALL_NOISY,GROUP,all_noisy,hierarchical,cough,0.9958071278825996,0.0502645502645502,0.0956985997783821
ALL_NOISY,GROUP,all_noisy,hierarchical,calm_grunt,0.9642784241681976,0.9997883597883598,0.9817123857024108
ALL_NOISY,GROUP,all_noisy,hierarchical,feeding,0.9345646437994723,0.7496296296296296,0.8319436288901938
ALL_NOISY,GROUP,all_noisy,hierarchical,stress_vocal,0.4473802958134871,0.9442328042328042,0.6071100527300561
ALL_NOISY,GROUP,all_noisy,prototype,cough,0.9958847736625516,0.0512169312169312,0.0974235104669887
ALL_NOISY,GROUP,all_noisy,prototype,calm_grunt,0.9606507371631928,0.9997883597883598,0.9798288825512056
ALL_NOISY,GROUP,all_noisy,prototype,feeding,0.9232907873120182,0.7731216931216931,0.8415596383113517
ALL_NOISY,GROUP,all_noisy,prototype,stress_vocal,0.4502708780537667,0.9322751322751324,0.6072511717673007
ALL_NOISY,GROUP,all_noisy,raw_softmax,cough,1.0,0.0452910052910052,0.086657218060336
ALL_NOISY,GROUP,all_noisy,raw_softmax,calm_grunt,0.978150564357461,0.9995767195767196,0.9887475794211548
ALL_NOISY,GROUP,all_noisy,raw_softmax,feeding,0.9208162217659136,0.7592592592592593,0.832270038278622
ALL_NOISY,GROUP,all_noisy,raw_softmax,stress_vocal,0.4425036390101892,0.9329100529100528,0.6002791679433493
MODERATE_NOISE,GROUP,moderate_noise,fused,cough,1.0,0.0685714285714285,0.1283422459893048
MODERATE_NOISE,GROUP,moderate_noise,fused,calm_grunt,0.9987317691819912,1.0,0.9993654822335024
MODERATE_NOISE,GROUP,moderate_noise,fused,feeding,0.9166808946559672,0.8522222222222222,0.8832771242905322
MODERATE_NOISE,GROUP,moderate_noise,fused,stress_vocal,0.4611600412600175,0.9225396825396824,0.6149288472729197
MODERATE_NOISE,GROUP,moderate_noise,hierarchical,cough,1.0,0.0741269841269841,0.1380227574996305
MODERATE_NOISE,GROUP,moderate_noise,hierarchical,calm_grunt,0.9987317691819912,1.0,0.9993654822335024
MODERATE_NOISE,GROUP,moderate_noise,hierarchical,feeding,0.9300637393767706,0.8338095238095238,0.8793103448275863
MODERATE_NOISE,GROUP,moderate_noise,hierarchical,stress_vocal,0.4621585661735932,0.9373015873015872,0.6190700843948209
MODERATE_NOISE,GROUP,moderate_noise,prototype,cough,1.0,0.0753968253968253,0.1402214022140221
MODERATE_NOISE,GROUP,moderate_noise,prototype,calm_grunt,0.998257011567105,1.0,0.999127745618904
MODERATE_NOISE,GROUP,moderate_noise,prototype,feeding,0.9173638381423938,0.8528571428571429,0.8839351813769846
MODERATE_NOISE,GROUP,moderate_noise,prototype,stress_vocal,0.463167954129171,0.9231746031746032,0.6168531579784695
MODERATE_NOISE,GROUP,moderate_noise,raw_softmax,cough,1.0,0.0671428571428571,0.1258366800535475
MODERATE_NOISE,GROUP,moderate_noise,raw_softmax,calm_grunt,0.9995240361732508,1.0,0.999761961437753
MODERATE_NOISE,GROUP,moderate_noise,raw_softmax,feeding,0.9149449035812672,0.8434920634920635,0.8777667657746944
MODERATE_NOISE,GROUP,moderate_noise,raw_softmax,stress_vocal,0.4583925469761566,0.9215873015873016,0.6122535062743858
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,fused,cough,0.8,0.0025396825396825,0.0050632911392405
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,fused,calm_grunt,0.931360946745562,0.9993650793650792,0.9641653905053598
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,fused,feeding,0.9376237623762376,0.6012698412698413,0.732688588007737
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,fused,stress_vocal,0.4175243393602225,0.953015873015873,0.5806576402321083
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,hierarchical,cough,0.8,0.0025396825396825,0.0050632911392405
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,hierarchical,calm_grunt,0.9020057306590258,0.9993650793650792,0.9481927710843374
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,hierarchical,feeding,0.9477225672877848,0.5812698412698413,0.720582447855175
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,hierarchical,stress_vocal,0.4210379464285714,0.958095238095238,0.584997092459779
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,prototype,cough,0.8181818181818182,0.0028571428571428,0.0056944005061689
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,prototype,calm_grunt,0.8933030646992054,0.9993650793650792,0.9433623014683848
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,prototype,feeding,0.9401750972762646,0.6136507936507937,0.7426046868997311
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,prototype,stress_vocal,0.4271650734769582,0.9504761904761904,0.5894280933162712
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,raw_softmax,cough,1.0,0.0015873015873015,0.0031695721077654
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,raw_softmax,calm_grunt,0.937984496124031,0.9987301587301588,0.9674046740467404
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,raw_softmax,feeding,0.9380040322580644,0.5907936507936508,0.7249707830151929
EXTREME_STRESS,GROUP,extreme simulated-noise stress condition,raw_softmax,stress_vocal,0.4147719443296128,0.9555555555555556,0.5784568079177477
