parameter,value,count,n_runs,mean,std,min,max
per_class_rejection_threshold:cough,0.9999653697013855,1,25,0.9998724913597108,0.0005962762380454,0.9970130920410156,1.0
per_class_rejection_threshold:cough,0.9999717473983765,1,25,0.9998724913597108,0.0005962762380454,0.9970130920410156,1.0
per_class_rejection_threshold:cough,0.9999885559082031,1,25,0.9998724913597108,0.0005962762380454,0.9970130920410156,1.0
per_class_rejection_threshold:cough,0.9999997019767761,1,25,0.9998724913597108,0.0005962762380454,0.9970130920410156,1.0
per_class_rejection_threshold:cough,0.9999998211860657,1,25,0.9998724913597108,0.0005962762380454,0.9970130920410156,1.0
per_class_rejection_threshold:cough,0.9999998807907104,1,25,0.9998724913597108,0.0005962762380454,0.9970130920410156,1.0
per_class_rejection_threshold:cough,0.9999999403953552,3,25,0.9998724913597108,0.0005962762380454,0.9970130920410156,1.0
per_class_rejection_threshold:cough,1.0,14,25,0.9998724913597108,0.0005962762380454,0.9970130920410156,1.0
per_class_rejection_threshold:calm_grunt,0.9847701191902161,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9998205304145813,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999135732650757,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999144077301025,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999237656593323,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.999984622001648,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999881982803345,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999977946281433,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999982714653015,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999987483024597,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.999998927116394,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999991655349731,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999992847442627,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999995827674866,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999997615814209,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,0.9999998211860657,1,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:calm_grunt,1.0,9,25,0.999372262954712,0.0030424163160025,0.984770119190216,1.0
per_class_rejection_threshold:feeding,0.5207092761993408,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.534602165222168,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.547319769859314,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.5498186349868774,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.5574349164962769,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.5813392400741577,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.589407742023468,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.5915449261665344,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.5934004783630371,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.6018237471580505,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.6482840180397034,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.6507614254951477,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.6527675986289978,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.6593486070632935,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.6717362999916077,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.6894316673278809,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.6935396194458008,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.7066670656204224,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.744195818901062,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.7600520849227905,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.7922728061676025,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.8311771750450134,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.8807213306427002,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.896024763584137,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:feeding,0.9365887641906738,1,25,0.6752387976646423,0.1186311268594674,0.5207092761993408,0.9365887641906738
per_class_rejection_threshold:stress_vocal,0.5488241314888,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.5589417815208435,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.5672731399536133,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.5749942660331726,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.6211866140365601,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.6266660094261169,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.6326817870140076,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.6426146626472473,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.6447434425354004,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.6488773822784424,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.6668639779090881,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.6718096733093262,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.6868842244148254,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.6950579881668091,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.7465481162071228,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.7599010467529297,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.7733570337295532,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.7814509868621826,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.7922167181968689,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.8154817819595337,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.8186060190200806,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
per_class_rejection_threshold:stress_vocal,0.8249891996383667,1,25,0.711580045223236,0.1108540567915041,0.5488241314888,0.967910647392273
