noise_environment,snr_db,comparison,n,mean_delta,std_delta,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,wins,ties,losses,condition_family
TBUS,10.0,prototype - raw_softmax,25,0.0013988412441857,0.0114160789684153,-0.002733681521357,0.0061193353941719,0.8076239898901056,11,3,11,
TBUS,10.0,hierarchical - raw_softmax,25,0.0019748373579041,0.0121445744925595,-0.0022885082663132,0.0069979396453424,0.7172177958043885,10,6,9,
TBUS,10.0,hierarchical - prototype,25,0.0005759961137183,0.0067993258445925,-0.0019434288913351,0.0032844533535162,0.5196565532398361,12,6,7,
TBUS,20.0,prototype - raw_softmax,25,0.0053718118600894,0.0107552904240966,0.0015392103424393,0.0098057734226297,0.027621013367531,14,5,6,
TBUS,20.0,hierarchical - raw_softmax,25,0.0071232643949512,0.0101677272911773,0.0034768322147866,0.0113199713821045,0.0008918026969621,18,5,2,
TBUS,20.0,hierarchical - prototype,25,0.0017514525348618,0.0072616840929517,-0.0010466437092362,0.0046048438855181,0.1487917928465783,12,8,5,
ALL_NOISY,GROUP,prototype - raw_softmax,25,0.0057550071105016,0.0123009757194359,0.001605904983359,0.0108936411655041,0.0105108022689819,18,0,7,all_noisy
ALL_NOISY,GROUP,hierarchical - raw_softmax,25,0.0027100588039654,0.0107400078078825,-0.0009994122550498,0.007084541882664,0.312333345413208,13,0,12,all_noisy
ALL_NOISY,GROUP,hierarchical - prototype,25,-0.0030449483065362,0.0038360453618694,-0.0045809535981232,-0.001639159764278,0.0003764033317565,5,0,20,all_noisy
MODERATE_NOISE,GROUP,prototype - raw_softmax,25,0.006129024680793,0.0108305836274094,0.0024422883820096,0.0106966841516283,0.0016730747221523,19,1,5,moderate_noise
MODERATE_NOISE,GROUP,hierarchical - raw_softmax,25,0.0049503017224688,0.0106354515545738,0.0012235411474547,0.0094093666241906,0.0105108022689819,19,0,6,moderate_noise
MODERATE_NOISE,GROUP,hierarchical - prototype,25,-0.0011787229583242,0.0041142765275652,-0.0028060603310008,0.0004313466353358,0.1908142566680908,10,0,15,moderate_noise
EXTREME_STRESS,GROUP,prototype - raw_softmax,25,0.0050069719699188,0.017759431945007,-0.0012644578179123,0.0121468888198396,0.5601714849472046,11,0,14,extreme simulated-noise stress condition
