noise_environment,snr_db,condition_family,method,n,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95
STRAFFIC,0.0,,raw_softmax,25,0.8928571428571428,0.4121692933862931,0.3893333333333333,0.4255263157894737,0.4379999999999999
STRAFFIC,10.0,,fused,25,0.9138095238095236,0.3257990277515455,0.3303703703703703,0.3236842105263157,0.3285
STRAFFIC,10.0,,hierarchical,25,0.9126190476190476,0.330236807048649,0.3342222222222222,0.331578947368421,0.33525
STRAFFIC,10.0,,prototype,25,0.9164285714285716,0.3210036542418704,0.3262222222222222,0.323421052631579,0.3229999999999999
STRAFFIC,10.0,,raw_softmax,25,0.9204761904761908,0.3303091418337855,0.3327407407407407,0.3268421052631579,0.3314999999999999
STRAFFIC,20.0,,fused,25,0.928095238095238,0.2985049910691971,0.3179259259259259,0.3002631578947368,0.29825
STRAFFIC,20.0,,hierarchical,25,0.9297619047619048,0.3002335614398483,0.3191111111111111,0.3002631578947368,0.2994999999999999
STRAFFIC,20.0,,prototype,25,0.93,0.2972144852274453,0.317037037037037,0.2968421052631579,0.29875
STRAFFIC,20.0,,raw_softmax,25,0.9295238095238096,0.2996463504821092,0.3182222222222222,0.3021052631578947,0.301
TBUS,0.0,,fused,25,0.9157142857142856,0.3106876283514408,0.3122962962962963,0.3089473684210526,0.315
TBUS,0.0,,hierarchical,25,0.9188095238095236,0.318135203409124,0.3185185185185185,0.3171052631578948,0.31975
TBUS,0.0,,prototype,25,0.9188095238095236,0.311907836581818,0.312,0.3118421052631578,0.31325
TBUS,0.0,,raw_softmax,25,0.9188095238095236,0.3134246025040104,0.3131851851851852,0.3121052631578947,0.3185
TBUS,10.0,,fused,25,0.9273809523809524,0.2969102627294723,0.3111111111111111,0.2978947368421052,0.2965
TBUS,10.0,,hierarchical,25,0.9271428571428572,0.2977235171867821,0.3158518518518518,0.2971052631578947,0.296
TBUS,10.0,,prototype,25,0.927142857142857,0.2958293708452856,0.3137777777777778,0.2955263157894737,0.2977499999999999
TBUS,10.0,,raw_softmax,25,0.9285714285714284,0.2972931578588245,0.3078518518518518,0.2989473684210526,0.29875
TBUS,20.0,,fused,25,0.9257142857142856,0.2687881608500858,0.2711111111111111,0.2697368421052631,0.2705
TBUS,20.0,,hierarchical,25,0.9307142857142856,0.267750348539372,0.2811851851851851,0.2671052631578947,0.2695
TBUS,20.0,,prototype,25,0.927142857142857,0.2655971325753858,0.2785185185185185,0.2649999999999999,0.26875
TBUS,20.0,,raw_softmax,25,0.923095238095238,0.2688641138388462,0.2666666666666666,0.2692105263157895,0.27225
clean,clean,,fused,25,0.9333333333333332,0.0254617614118127,0.0059259259259259,0.0197368421052631,0.0307499999999999
clean,clean,,hierarchical,25,0.9357142857142856,0.0241282788281779,0.005037037037037,0.0181578947368421,0.0305
clean,clean,,prototype,25,0.9314285714285714,0.0229867252150338,0.0053333333333333,0.016578947368421,0.0305
clean,clean,,raw_softmax,25,0.9349999999999998,0.0272358303098424,0.0068148148148148,0.0205263157894736,0.0325
ALL_NOISY,GROUP,all_noisy,fused,25,0.9194179894179896,0.3011425828194792,0.304395061728395,0.3021929824561403,0.3055555555555555
ALL_NOISY,GROUP,all_noisy,hierarchical,25,0.9218518518518518,0.3032993031268439,0.3094650205761317,0.3036257309941521,0.307
ALL_NOISY,GROUP,all_noisy,prototype,25,0.921190476190476,0.2987645540981599,0.305679012345679,0.2997368421052631,0.3036111111111111
ALL_NOISY,GROUP,all_noisy,raw_softmax,25,0.92,0.302386015972911,0.3042962962962963,0.3040350877192982,0.308
MODERATE_NOISE,GROUP,moderate_noise,fused,25,0.9228174603174604,0.2806882569043061,0.2884938271604938,0.2809210526315789,0.282625
