threshold,coverage,selective_risk,selective_acc,n_accepted,n_total
0.87,0.8809523809523809,0.020270270270270285,0.9797297297297297,148,168
0.88,0.875,0.020408163265306145,0.9795918367346939,147,168
0.89,0.8630952380952381,0.020689655172413834,0.9793103448275862,145,168
0.9,0.8630952380952381,0.020689655172413834,0.9793103448275862,145,168
0.91,0.8571428571428571,0.02083333333333337,0.9791666666666666,144,168
0.92,0.8571428571428571,0.02083333333333337,0.9791666666666666,144,168
0.93,0.8511904761904762,0.020979020979020935,0.9790209790209791,143,168
0.9400000000000001,0.8273809523809523,0.014388489208633115,0.9856115107913669,139,168
0.9500000000000001,0.8154761904761905,0.014598540145985384,0.9854014598540146,137,168
0.96,0.7916666666666666,0.015037593984962405,0.9849624060150376,133,168
0.97,0.7440476190476191,0.016000000000000014,0.984,125,168
0.98,0.6785714285714286,0.00877192982456143,0.9912280701754386,114,168
0.99,0.6011904761904762,0.00990099009900991,0.9900990099009901,101,168
1.0,0.023809523809523808,0.0,1.0,4,168
